,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
Brussels,60.79,36.45,133.47,247.88,216.35,180.42,241.46,230.43,142.84,319.01,0.0,153.5,155.04,268.66,234.96,345.51,402.38,46.63,89.0,162.27,357.71,341.77,276.13,198.88,334.7,297.62,299.68,194.54,36.45,99.51,574.97,186.04,156.42,134.12,57.17,111.34,252.63,271.85,322.96,22.24,80.02,187.97,222.75,383.23,112.01,273.29,214.06,106.48,170.36,156.42,252.63,89.0
Dublin,93.38,142.86,257.42,292.66,362.8,328.89,364.04,379.1,283.79,314.7,153.5,0.0,238.76,324.61,249.51,406.4,555.5,150.42,239.89,293.84,506.9,494.78,428.93,352.38,403.61,389.92,407.39,342.06,189.72,243.26,727.96,339.18,275.47,281.08,204.58,264.09,324.57,418.42,356.16,143.82,228.22,245.33,205.54,536.67,125.66,268.56,350.59,53.53,319.27,275.47,324.57,239.89
Copenhagen,183.25,190.84,68.01,400.72,289.11,165.16,136.33,202.87,114.43,473.82,155.04,238.76,0.0,114.78,113.72,190.5,412.72,114.04,186.43,276.48,316.18,330.55,270.13,226.43,180.42,152.58,169.1,170.26,156.57,212.14,549.37,204.55,285.4,226.43,123.63,156.28,398.38,334.9,475.97,139.05,191.06,44.48,138.99,377.98,114.72,427.71,145.96,187.98,245.05,285.4,398.38,186.43
Stockholm,288.91,303.76,167.82,515.37,387.1,246.03,160.15,267.2,206.62,586.09,268.66,324.61,114.78,0.0,92.93,82.04,472.48,225.22,297.81,386.53,350.9,384.36,334.69,313.96,80.14,97.87,140.37,244.98,271.27,324.25,577.12,291.87,398.02,334.14,237.64,261.23,512.81,426.29,590.61,251.13,303.89,83.49,148.16,430.92,201.69,539.43,200.56,280.72,346.92,398.02,512.81,297.81
Oslo,235.92,265.1,181.73,480.02,401.23,277.88,223.82,312.0,228.06,537.28,234.96,249.51,113.72,92.93,0.0,166.43,522.53,188.33,290.28,380.24,415.4,437.87,380.27,340.15,170.38,186.93,224.58,281.74,249.91,313.84,647.22,318.23,384.08,333.85,223.82,267.18,487.58,448.24,554.19,213.73,291.74,70.64,55.58,485.39,138.99,489.71,249.76,213.69,356.08,384.08,487.58,290.28
Helsinki,369.68,381.34,231.5,589.55,437.87,291.03,184.65,299.5,262.2,664.3,345.51,406.4,190.5,82.04,166.43,0.0,490.07,303.84,364.01,449.54,356.08,401.23,362.1,359.08,22.24,89.73,133.43,286.14,344.11,390.96,567.87,338.02,464.63,395.44,308.87,322.15,582.9,470.3,664.67,329.31,372.02,164.78,221.54,445.0,283.72,618.08,234.96,362.75,402.27,464.63,582.9,364.01
Athens,462.13,415.55,348.05,449.95,207.22,249.59,312.9,210.55,302.72,554.51,402.38,555.5,412.72,472.48,522.53,490.07,0.0,418.48,316.15,291.93,142.59,88.96,142.59,204.7,467.9,400.58,357.13,242.67,365.96,317.77,190.69,221.41,323.28,279.76,357.55,295.19,399.85,161.7,492.65,415.3,328.91,452.39,551.15,47.72,482.88,533.3,274.33,508.26,241.21,323.28,399.85,316.15
Amsterdam,72.69,79.05,109.48,293.67,246.16,180.39,218.62,230.22,133.47,360.89,46.63,150.42,114.04,225.22,188.33,303.84,418.48,0.0,119.31,202.37,357.71,350.45,284.5,213.98,294.42,262.79,270.4,192.91,68.2,136.57,582.62,197.39,200.15,166.39,61.15,123.49,299.25,300.38,368.57,26.2,114.87,143.16,177.91,394.5,71.76,314.37,200.58,97.3,198.9,200.15,299.25,119.31
Zurich,146.62,99.71,132.52,235.65,127.98,122.18,217.75,166.7,110.71,327.71,89.0,239.89,186.43,297.81,290.28,364.01,316.15,119.31,0.0,90.33,287.7,262.06,198.35,116.88,348.64,297.24,285.34,136.95,53.51,27.0,493.92,109.4,100.67,47.08,66.72,50.26,220.16,183.18,308.42,106.36,15.17,228.93,291.74,300.57,191.06,287.9,175.08,195.22,81.46,100.67,220.16,0.0
Monaco,206.97,154.1,219.33,179.28,84.93,178.81,289.43,208.33,188.81,282.37,162.27,293.84,276.48,386.53,380.24,449.54,291.93,202.37,90.33,0.0,306.62,262.88,210.66,135.42,432.96,377.21,358.93,191.22,134.32,66.72,480.85,143.27,32.53,54.79,156.42,127.44,147.28,134.26,243.75,183.6,88.96,319.23,379.03,290.35,273.06,251.5,240.28,259.15,68.24,32.53,147.28,90.33
Bucharest,417.77,382.01,262.11,484.85,231.71,178.06,192.73,127.82,225.23,588.87,357.71,506.9,316.18,350.9,415.4,356.08,142.59,357.71,287.7,306.62,0.0,66.02,95.96,175.75,333.86,268.37,222.86,164.9,324.56,301.33,233.22,178.44,338.57,270.07,302.83,247.71,445.06,217.08,543.23,363.5,302.77,348.96,453.34,94.89,409.39,557.46,170.36,454.65,239.63,338.57,445.06,287.7
Sofia,402.55,360.87,268.64,436.95,181.67,172.83,224.43,127.98,225.46,542.05,341.77,494.78,330.55,384.36,437.87,401.23,88.96,350.45,262.06,262.88,66.02,0.0,66.02,145.19,379.08,311.68,268.49,163.31,306.32,270.41,233.21,155.74,295.4,235.14,291.24,230.69,393.39,157.38,490.82,351.42,276.42,368.42,469.54,47.54,410.05,513.99,188.27,444.66,199.98,295.4,393.39,262.06
Belgrade,336.92,296.23,205.94,389.01,137.44,108.28,178.53,68.51,161.39,492.92,276.13,428.93,270.13,334.69,380.27,362.1,142.59,284.5,198.35,210.66,95.96,66.02,0.0,82.35,340.46,272.81,233.9,100.29,240.93,208.96,299.04,90.31,242.66,175.75,225.23,164.9,350.14,133.15,448.39,285.46,213.04,309.97,408.67,110.8,344.86,461.65,134.29,378.67,143.9,242.66,350.14,198.35
Zagreb,259.34,215.94,158.42,314.56,82.41,68.45,178.89,76.12,112.2,416.65,198.88,352.38,226.43,313.96,340.15,359.08,204.7,213.98,116.88,135.42,175.75,145.19,82.35,0.0,339.26,275.25,246.31,73.4,162.76,126.61,377.39,22.24,165.92,94.33,152.92,90.53,280.91,112.39,378.47,210.8,131.27,270.08,359.08,184.58,280.05,383.1,126.35,304.0,67.22,165.92,280.91,116.88
Tallinn,362.06,370.84,216.37,576.63,418.7,271.51,163.55,278.41,244.77,653.7,334.7,403.61,180.42,80.14,170.38,22.24,467.9,294.42,348.64,432.96,333.86,379.08,340.46,339.26,0.0,67.78,111.19,266.1,331.25,375.64,546.46,318.44,449.03,378.57,295.54,305.53,568.26,450.05,651.58,319.44,357.23,159.24,225.96,422.78,279.41,607.87,214.42,358.23,384.05,449.03,568.26,348.64
Riga,334.35,334.04,168.79,530.51,356.04,208.62,97.19,211.64,188.64,613.82,297.62,389.92,152.58,97.87,186.93,89.73,400.58,262.79,297.24,377.21,268.37,311.68,272.81,275.25,67.78,0.0,46.27,201.85,287.86,324.06,486.68,255.1,396.02,322.43,251.41,250.89,517.24,384.76,604.6,285.68,307.48,148.76,239.88,355.82,264.43,569.42,149.18,340.19,324.04,396.02,517.24,297.24
Vilnius,343.07,335.48,166.42,520.92,328.49,183.22,69.58,177.16,174.64,609.3,299.68,407.39,169.1,140.37,224.58,133.43,357.13,270.4,285.34,358.93,222.86,268.49,233.9,246.31,111.19,46.27,0.0,173.97,284.45,311.41,440.51,227.78,380.68,304.47,248.42,236.4,502.87,352.29,593.66,290.85,297.17,176.47,275.02,311.71,283.8,566.45,121.0,355.68,300.89,380.68,502.87,285.34
Bratislava,253.79,221.79,105.71,364.53,154.8,14.88,105.71,37.38,62.39,461.73,194.54,342.06,170.26,244.98,281.74,286.14,242.67,192.91,136.95,191.22,164.9,163.31,100.29,73.4,266.1,201.85,173.97,0.0,163.47,157.92,391.63,53.83,217.25,139.36,138.53,89.26,338.28,184.23,433.38,198.94,151.77,211.15,308.48,210.02,247.82,423.66,53.19,289.76,128.4,217.25,338.28,136.95
Luxembourg City,96.58,58.35,119.32,245.47,181.47,148.92,221.96,198.23,117.6,326.07,36.45,189.72,156.57,271.27,249.91,344.11,365.96,68.2,53.51,134.32,324.56,306.32,240.93,162.76,331.25,287.86,284.45,163.47,0.0,68.39,539.42,150.65,134.32,99.9,36.45,76.95,242.03,236.69,320.56,52.87,46.9,195.02,244.96,347.27,139.58,282.28,188.83,142.86,134.93,134.32,242.03,53.51
Bern,151.54,100.43,159.47,210.09,119.58,143.47,243.35,184.86,136.88,304.22,99.51,243.26,212.14,324.25,313.84,390.96,317.77,136.57,27.0,66.72,301.33,270.41,208.96,126.61,375.64,324.06,311.41,157.92,68.39,0.0,499.85,123.54,73.87,38.29,90.19,75.21,193.24,175.26,282.26,119.63,22.24,254.06,312.46,306.17,207.91,265.74,199.19,202.49,77.02,73.87,193.24,27.0
Nicosia,635.74,593.31,493.64,640.36,395.92,402.92,423.46,354.47,453.83,744.63,574.97,727.96,549.37,577.12,647.22,567.87,190.69,582.62,493.92,480.85,233.22,233.21,299.04,377.39,546.46,486.68,440.51,391.63,539.42,499.85,0.0,388.93,512.67,462.91,524.11,463.89,589.54,352.36,680.6,584.48,507.89,581.82,686.44,193.69,639.32,723.98,403.47,677.6,425.42,512.67,589.54,493.92
Ljubljana,246.81,206.09,136.57,320.78,101.06,46.99,159.47,65.14,90.19,421.15,186.04,339.18,204.55,291.87,318.23,338.02,221.41,197.39,109.4,143.27,178.44,155.74,90.31,22.24,318.44,255.1,227.78,53.83,150.65,123.54,388.93,0.0,171.92,96.11,136.88,75.21,290.34,134.42,387.0,196.25,124.41,248.07,338.02,197.84,261.71,385.77,107.0,289.62,77.02,171.92,290.34,109.4
Marseille,193.29,141.22,233.15,148.93,116.87,204.06,311.61,237.03,207.59,250.87,156.42,275.47,285.4,398.02,384.08,464.63,323.28,200.15,100.67,32.53,338.57,295.4,242.66,165.92,449.03,396.02,380.68,217.25,134.32,73.87,512.67,171.92,0.0,77.91,162.27,145.2,122.25,163.97,216.13,178.55,94.34,326.62,378.06,322.68,268.43,219.16,264.19,245.3,99.29,0.0,122.25,100.67
Milan,188.8,138.41,166.39,225.67,82.41,126.16,235.06,160.63,134.12,325.11,134.12,281.08,226.43,334.14,333.85,395.44,279.76,166.39,47.08,54.79,270.07,235.14,175.75,94.33,378.57,322.43,304.47,139.36,99.9,38.29,462.91,96.11,77.91,0.0,112.2,73.4,199.6,138.09,294.03,152.69,54.15,270.08,337.8,269.37,238.14,289.81,186.66,239.07,38.74,77.91,199.6,47.08
Frankfurt,115.27,89.44,82.89,281.12,188.27,124.83,187.02,175.08,85.75,362.52,57.17,204.58,123.63,237.64,223.82,308.87,357.55,61.15,66.72,156.42,302.83,291.24,225.23,152.92,295.54,251.41,248.42,138.53,36.45,90.19,524.11,136.88,162.27,112.2,0.0,62.39,275.21,241.38,356.05,60.79,68.32,164.35,225.6,334.53,130.1,318.64,157.1,153.5,140.95,162.27,275.21,66.72
Munich,172.1,134.39,93.43,285.27,134.35,74.39,168.15,122.18,62.39,377.96,111.34,264.09,156.28,261.23,267.18,322.15,295.19,123.49,50.26,127.44,247.71,230.69,164.9,90.53,305.53,250.89,236.4,89.26,76.95,75.21,463.89,75.21,145.2,73.4,62.39,0.0,266.95,184.23,357.37,121.05,64.07,200.6,277.88,273.03,190.79,337.95,124.83,214.43,88.96,145.2,266.95,50.26
Valencia,266.87,224.66,351.89,56.07,213.39,325.52,433.85,355.22,329.31,155.48,252.63,324.57,398.38,512.81,487.58,582.9,399.85,299.25,220.16,147.28,445.06,393.39,350.14,280.91,568.26,517.24,502.87,338.28,242.03,193.24,589.54,290.34,122.25,199.6,275.21,266.95,0.0,241.02,98.24,274.07,211.02,436.83,472.25,411.2,358.64,143.3,386.23,312.84,214.05,122.25,0.0,220.16
Naples,326.72,275.56,267.31,289.17,55.72,180.75,287.62,175.24,222.39,394.21,271.85,418.42,334.9,426.29,448.24,470.3,161.7,300.38,183.18,134.26,217.08,157.38,133.15,112.39,450.05,384.76,352.29,184.23,236.69,175.26,352.36,134.42,163.97,138.09,241.38,184.23,241.02,0.0,336.66,289.49,192.14,379.17,462.03,170.27,371.26,371.71,235.74,377.16,101.82,163.97,241.02,183.18
Seville,321.26,289.83,436.63,75.25,311.53,420.13,525.47,452.08,419.07,83.01,322.96,356.16,475.97,590.61,554.19,664.67,492.65,368.57,308.42,243.75,543.23,490.82,448.39,378.47,651.58,604.6,593.66,433.38,320.56,282.26,680.6,387.0,216.13,294.03,356.05,357.37,98.24,336.66,0.0,342.42,297.29,510.9,530.93,506.85,418.29,102.95,479.63,358.86,311.37,216.13,98.24,308.42
Antwerp,55.97,52.87,126.48,267.56,234.33,185.45,235.85,235.7,143.08,335.12,22.24,143.82,139.05,251.13,213.73,329.31,415.3,26.2,106.36,183.6,363.5,351.42,285.46,210.8,319.44,285.68,290.85,198.94,52.87,119.63,584.48,196.25,178.55,152.69,60.79,121.05,274.07,289.49,342.42,0.0,99.12,169.3,200.54,394.08,89.95,288.77,212.97,93.38,187.68,178.55,274.07,106.36
Basel,135.33,86.66,140.87,223.84,136.52,136.95,230.22,181.83,122.77,314.28,80.02,228.22,191.06,303.89,291.74,372.02,328.91,114.87,15.17,88.96,302.77,276.42,213.04,131.27,357.23,307.48,297.17,151.77,46.9,22.24,507.89,124.41,94.34,54.15,68.32,64.07,211.02,192.14,297.29,99.12,0.0,232.53,290.28,314.37,186.43,273.91,188.74,185.09,91.29,94.34,211.02,15.17
Gothenburg,205.43,222.16,111.94,435.77,333.58,207.26,160.61,241.86,157.89,503.48,187.97,245.33,44.48,83.49,70.64,164.78,452.39,143.16,228.93,319.23,348.96,368.42,309.97,270.08,159.24,148.76,176.47,211.15,195.02,254.06,581.82,248.07,326.62,270.08,164.35,200.6,436.83,379.17,510.9,169.3,232.53,0.0,105.11,415.96,120.32,456.62,180.92,199.01,289.44,326.62,436.83,228.93
Bergen,209.68,247.61,203.51,458.47,411.57,302.24,265.67,341.78,249.76,506.47,222.75,205.54,138.99,148.16,55.58,221.54,551.15,177.91,291.74,379.03,453.34,469.54,408.67,359.08,225.96,239.88,275.02,308.48,244.96,312.46,686.44,338.02,378.06,337.8,225.6,277.88,472.25,462.03,530.93,200.54,290.28,105.11,0.0,516.95,113.72,458.89,284.02,177.59,364.82,378.06,472.25,291.74
Thessaloniki,443.83,400.15,315.6,458.19,206.07,218.9,270.8,175.24,271.85,563.48,383.23,536.67,377.98,430.92,485.39,445.0,47.72,394.5,300.57,290.35,94.89,47.54,110.8,184.58,422.78,355.82,311.71,210.02,347.27,306.17,193.69,197.84,322.68,269.37,334.53,273.03,411.2,170.27,506.85,394.08,314.37,415.96,516.95,0.0,455.64,538.56,235.74,487.46,232.21,322.68,411.2,300.57
Edinburgh,97.58,134.13,147.97,345.24,317.47,237.29,246.5,284.86,185.51,398.38,112.01,125.66,114.72,201.69,138.99,283.72,482.88,71.76,191.06,273.06,409.39,410.05,344.86,280.05,279.41,264.43,283.8,247.82,139.58,207.91,639.32,261.71,268.43,238.14,130.1,190.79,358.64,371.26,418.29,89.95,186.43,120.32,113.72,455.64,0.0,350.79,242.72,79.03,270.13,268.43,358.64,191.06
Porto,254.08,237.04,401.5,87.41,333.1,409.15,502.07,449.49,394.88,47.63,273.29,268.56,427.71,539.43,489.71,618.08,533.3,314.37,287.9,251.5,557.46,513.99,461.65,383.1,607.87,569.42,566.45,423.66,282.28,265.74,723.98,385.77,219.16,289.81,318.64,337.95,143.3,371.71,102.95,288.77,273.91,456.62,458.89,538.56,350.79,0.0,462.61,281.71,317.83,219.16,143.3,287.9
Krakow,268.94,246.0,94.98,408.89,207.99,62.39,52.55,66.72,71.46,502.78,214.06,350.59,145.96,200.56,249.76,234.96,274.33,200.58,175.08,240.28,170.36,188.27,134.29,126.35,214.42,149.18,121.0,53.19,188.83,199.19,403.47,107.0,264.19,186.66,157.1,124.83,386.23,235.74,479.63,212.97,188.74,180.92,284.02,235.74,242.72,462.61,0.0,297.12,180.15,264.19,386.23,175.08
Manchester,52.23,105.07,203.91,289.5,321.47,276.87,310.83,326.95,230.77,329.21,106.48,53.53,187.98,280.72,213.69,362.75,508.26,97.3,195.22,259.15,454.65,444.66,378.67,304.0,358.23,340.19,355.68,289.76,142.86,202.49,677.6,289.62,245.3,239.07,153.5,214.43,312.84,377.16,358.86,93.38,185.09,199.01,177.59,487.46,79.03,281.71,297.12,0.0,276.23,245.3,312.84,195.22
Bologna,226.6,176.84,180.37,247.49,47.36,117.76,231.51,141.33,140.95,350.14,170.36,319.27,245.05,346.92,356.08,402.27,241.21,198.9,81.46,68.24,239.63,199.98,143.9,67.22,384.05,324.04,300.89,128.4,134.93,77.02,425.42,77.02,99.29,38.74,140.95,88.96,214.05,101.82,311.37,187.68,91.29,289.44,364.82,232.21,270.13,317.83,180.15,276.23,0.0,99.29,214.05,81.46
Marseille,193.29,141.22,233.15,148.93,116.87,204.06,311.61,237.03,207.59,250.87,156.42,275.47,285.4,398.02,384.08,464.63,323.28,200.15,100.67,32.53,338.57,295.4,242.66,165.92,449.03,396.02,380.68,217.25,134.32,73.87,512.67,171.92,0.0,77.91,162.27,145.2,122.25,163.97,216.13,178.55,94.34,326.62,378.06,322.68,268.43,219.16,264.19,245.3,99.29,0.0,122.25,100.67
Valencia,266.87,224.66,351.89,56.07,213.39,325.52,433.85,355.22,329.31,155.48,252.63,324.57,398.38,512.81,487.58,582.9,399.85,299.25,220.16,147.28,445.06,393.39,350.14,280.91,568.26,517.24,502.87,338.28,242.03,193.24,589.54,290.34,122.25,199.6,275.21,266.95,0.0,241.02,98.24,274.07,211.02,436.83,472.25,411.2,358.64,143.3,386.23,312.84,214.05,122.25,0.0,220.16
Zurich,146.62,99.71,132.52,235.65,127.98,122.18,217.75,166.7,110.71,327.71,89.0,239.89,186.43,297.81,290.28,364.01,316.15,119.31,0.0,90.33,287.7,262.06,198.35,116.88,348.64,297.24,285.34,136.95,53.51,27.0,493.92,109.4,100.67,47.08,66.72,50.26,220.16,183.18,308.42,106.36,15.17,228.93,291.74,300.57,191.06,287.9,175.08,195.22,81.46,100.67,220.16,0.0
