,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
Oslo,14.75,16.57,11.36,30.0,25.08,17.37,13.99,19.5,14.25,33.58,14.68,15.59,7.11,5.81,0.0,10.4,32.66,11.77,18.14,23.77,25.96,27.37,23.77,21.26,10.65,11.68,14.04,17.61,15.62,19.62,40.45,19.89,24.01,20.87,13.99,16.7,30.47,28.02,34.64,13.36,18.23,4.42,3.47,30.34,8.69,30.61,15.61,13.36,22.25,24.01,30.47,18.14
Helsinki,23.11,23.83,14.47,36.85,27.37,18.19,11.54,18.72,16.39,41.52,21.59,25.4,11.91,5.13,10.4,0.0,30.63,18.99,22.75,28.1,22.25,25.08,22.63,22.44,1.39,5.61,8.34,17.88,21.51,24.44,35.49,21.13,29.04,24.71,19.3,20.13,36.43,29.39,41.54,20.58,23.25,10.3,13.85,27.81,17.73,38.63,14.68,22.67,25.14,29.04,36.43,22.75
Athens,28.88,25.97,21.75,28.12,12.95,15.6,19.56,13.16,18.92,34.66,25.15,34.72,25.79,29.53,32.66,30.63,0.0,26.16,19.76,18.25,8.91,5.56,8.91,12.79,29.24,25.04,22.32,15.17,22.87,19.86,11.92,13.84,20.2,17.48,22.35,18.45,24.99,10.11,30.79,25.96,20.56,28.27,34.45,2.98,30.18,33.33,17.15,31.77,15.08,20.2,24.99,19.76
Amsterdam,4.54,4.94,6.84,18.35,15.38,11.27,13.66,14.39,8.34,22.56,2.91,9.4,7.13,14.08,11.77,18.99,26.16,0.0,7.46,12.65,22.36,21.9,17.78,13.37,18.4,16.42,16.9,12.06,4.26,8.54,36.41,12.34,12.51,10.4,3.82,7.72,18.7,18.77,23.04,1.64,7.18,8.95,11.12,24.66,4.49,19.65,12.54,6.08,12.43,12.51,18.7,7.46
Zurich,9.16,6.23,8.28,14.73,8.0,7.64,13.61,10.42,6.92,20.48,5.56,14.99,11.65,18.61,18.14,22.75,19.76,7.46,0.0,5.65,17.98,16.38,12.4,7.3,21.79,18.58,17.83,8.56,3.34,1.69,30.87,6.84,6.29,2.94,4.17,3.14,13.76,11.45,19.28,6.65,0.95,14.31,18.23,18.79,11.94,17.99,10.94,12.2,5.09,6.29,13.76,0.0
Monaco,12.94,9.63,13.71,11.2,5.31,11.18,18.09,13.02,11.8,17.65,10.14,18.37,17.28,24.16,23.77,28.1,18.25,12.65,5.65,0.0,19.16,16.43,13.17,8.46,27.06,23.58,22.43,11.95,8.4,4.17,30.05,8.95,2.03,3.42,9.78,7.96,9.2,8.39,15.23,11.47,5.56,19.95,23.69,18.15,17.07,15.72,15.02,16.2,4.27,2.03,9.2,5.65
Bucharest,26.11,23.88,16.38,30.3,14.48,11.13,12.05,7.99,14.08,36.8,22.36,31.68,19.76,21.93,25.96,22.25,8.91,22.36,17.98,19.16,0.0,4.13,6.0,10.98,20.87,16.77,13.93,10.31,20.29,18.83,14.58,11.15,21.16,16.88,18.93,15.48,27.82,13.57,33.95,22.72,18.92,21.81,28.33,5.93,25.59,34.84,10.65,28.42,14.98,21.16,27.82,17.98
Sofia,25.16,22.55,16.79,27.31,11.35,10.8,14.03,8.0,14.09,33.88,21.36,30.92,20.66,24.02,27.37,25.08,5.56,21.9,16.38,16.43,4.13,0.0,4.13,9.07,23.69,19.48,16.78,10.21,19.14,16.9,14.58,9.73,18.46,14.7,18.2,14.42,24.59,9.84,30.68,21.96,17.28,23.03,29.35,2.97,25.63,32.12,11.77,27.79,12.5,18.46,24.59,16.38
Belgrade,21.06,18.51,12.87,24.31,8.59,6.77,11.16,4.28,10.09,30.81,17.26,26.81,16.88,20.92,23.77,22.63,8.91,17.78,12.4,13.17,6.0,4.13,0.0,5.15,21.28,17.05,14.62,6.27,15.06,13.06,18.69,5.64,15.17,10.98,14.08,10.31,21.88,8.32,28.02,17.84,13.31,19.37,25.54,6.92,21.55,28.85,8.39,23.67,8.99,15.17,21.88,12.4
Zagreb,16.21,13.5,9.9,19.66,5.15,4.28,11.18,4.76,7.01,26.04,12.43,22.02,14.15,19.62,21.26,22.44,12.79,13.37,7.3,8.46,10.98,9.07,5.15,0.0,21.2,17.2,15.39,4.59,10.17,7.91,23.59,1.39,10.37,5.9,9.56,5.66,17.56,7.02,23.65,13.18,8.2,16.88,22.44,11.54,17.5,23.94,7.9,19.0,4.2,10.37,17.56,7.3
Tallinn,22.63,23.18,13.52,36.04,26.17,16.97,10.22,17.4,15.3,40.86,20.92,25.23,11.28,5.01,10.65,1.39,29.24,18.4,21.79,27.06,20.87,23.69,21.28,21.2,0.0,4.24,6.95,16.63,20.7,23.48,34.15,19.9,28.06,23.66,18.47,19.1,35.52,28.13,40.72,19.96,22.33,9.95,14.12,26.42,17.46,37.99,13.4,22.39,24.0,28.06,35.52,21.79
Riga,20.9,20.88,10.55,33.16,22.25,13.04,6.07,13.23,11.79,38.36,18.6,24.37,9.54,6.12,11.68,5.61,25.04,16.42,18.58,23.58,16.77,19.48,17.05,17.2,4.24,0.0,2.89,12.62,17.99,20.25,30.42,15.94,24.75,20.15,15.71,15.68,32.33,24.05,37.79,17.85,19.22,9.3,14.99,22.24,16.53,35.59,9.32,21.26,20.25,24.75,32.33,18.58
Vilnius,21.44,20.97,10.4,32.56,20.53,11.45,4.35,11.07,10.91,38.08,18.73,25.46,10.57,8.77,14.04,8.34,22.32,16.9,17.83,22.43,13.93,16.78,14.62,15.39,6.95,2.89,0.0,10.87,17.78,19.46,27.53,14.24,23.79,19.03,15.53,14.77,31.43,22.02,37.1,18.18,18.57,11.03,17.19,19.48,17.74,35.4,7.56,22.23,18.81,23.79,31.43,17.83
Bratislava,15.86,13.86,6.61,22.78,9.67,0.93,6.61,2.34,3.9,28.86,12.16,21.38,10.64,15.31,17.61,17.88,15.17,12.06,8.56,11.95,10.31,10.21,6.27,4.59,16.63,12.62,10.87,0.0,10.22,9.87,24.48,3.36,13.58,8.71,8.66,5.58,21.14,11.51,27.09,12.43,9.49,13.2,19.28,13.13,15.49,26.48,3.32,18.11,8.02,13.58,21.14,8.56
Luxembourg City,6.04,3.65,7.46,15.34,11.34,9.31,13.87,12.39,7.35,20.38,2.28,11.86,9.79,16.95,15.62,21.51,22.87,4.26,3.34,8.4,20.29,19.14,15.06,10.17,20.7,17.99,17.78,10.22,0.0,4.27,33.71,9.42,8.4,6.24,2.28,4.81,15.13,14.79,20.03,3.3,2.93,12.19,15.31,21.7,8.72,17.64,11.8,8.93,8.43,8.4,15.13,3.34
Bern,9.47,6.28,9.97,13.13,7.47,8.97,15.21,11.55,8.55,19.01,6.22,15.2,13.26,20.27,19.62,24.44,19.86,8.54,1.69,4.17,18.83,16.9,13.06,7.91,23.48,20.25,19.46,9.87,4.27,0.0,31.24,7.72,4.62,2.39,5.64,4.7,12.08,10.95,17.64,7.48,1.39,15.88,19.53,19.14,12.99,16.61,12.45,12.66,4.81,4.62,12.08,1.69
Nicosia,39.73,37.08,30.85,40.02,24.75,25.18,26.47,22.15,28.36,46.54,35.94,45.5,34.34,36.07,40.45,35.49,11.92,36.41,30.87,30.05,14.58,14.58,18.69,23.59,34.15,30.42,27.53,24.48,33.71,31.24,0.0,24.31,32.04,28.93,32.76,28.99,36.85,22.02,42.54,36.53,31.74,36.36,42.9,12.11,39.96,45.25,25.22,42.35,26.59,32.04,36.85,30.87
Ljubljana,15.43,12.88,8.54,20.05,6.32,2.94,9.97,4.07,5.64,26.32,11.63,21.2,12.78,18.24,19.89,21.13,13.84,12.34,6.84,8.95,11.15,9.73,5.64,1.39,19.9,15.94,14.24,3.36,9.42,7.72,24.31,0.0,10.75,6.01,8.55,4.7,18.15,8.4,24.19,12.27,7.78,15.5,21.13,12.37,16.36,24.11,6.69,18.1,4.81,10.75,18.15,6.84
Marseille,12.08,8.83,14.57,9.31,7.3,12.75,19.48,14.81,12.97,15.68,9.78,17.22,17.84,24.88,24.01,29.04,20.2,12.51,6.29,2.03,21.16,18.46,15.17,10.37,28.06,24.75,23.79,13.58,8.4,4.62,32.04,10.75,0.0,4.87,10.14,9.08,7.64,10.25,13.51,11.16,5.9,20.41,23.63,20.17,16.78,13.7,16.51,15.33,6.21,0.0,7.64,6.29
Milan,11.8,8.65,10.4,14.1,5.15,7.88,14.69,10.04,8.38,20.32,8.38,17.57,14.15,20.88,20.87,24.71,17.48,10.4,2.94,3.42,16.88,14.7,10.98,5.9,23.66,20.15,19.03,8.71,6.24,2.39,28.93,6.01,4.87,0.0,7.01,4.59,12.47,8.63,18.38,9.54,3.38,16.88,21.11,16.84,14.88,18.11,11.67,14.94,2.42,4.87,12.47,2.94
Frankfurt,7.2,5.59,5.18,17.57,11.77,7.8,11.69,10.94,5.36,22.66,3.57,12.79,7.73,14.85,13.99,19.3,22.35,3.82,4.17,9.78,18.93,18.2,14.08,9.56,18.47,15.71,15.53,8.66,2.28,5.64,32.76,8.55,10.14,7.01,0.0,3.9,17.2,15.09,22.25,3.8,4.27,10.27,14.1,20.91,8.13,19.91,9.82,9.59,8.81,10.14,17.2,4.17
Munich,10.76,8.4,5.84,17.83,8.4,4.65,10.51,7.64,3.9,23.62,6.96,16.51,9.77,16.33,16.7,20.13,18.45,7.72,3.14,7.96,15.48,14.42,10.31,5.66,19.1,15.68,14.77,5.58,4.81,4.7,28.99,4.7,9.08,4.59,3.9,0.0,16.68,11.51,22.34,7.57,4.0,12.54,17.37,17.06,11.92,21.12,7.8,13.4,5.56,9.08,16.68,3.14
Valencia,16.68,14.04,21.99,3.5,13.34,20.35,27.12,22.2,20.58,9.72,15.79,20.29,24.9,32.05,30.47,36.43,24.99,18.7,13.76,9.2,27.82,24.59,21.88,17.56,35.52,32.33,31.43,21.14,15.13,12.08,36.85,18.15,7.64,12.47,17.2,16.68,0.0,15.06,6.14,17.13,13.19,27.3,29.52,25.7,22.41,8.96,24.14,19.55,13.38,7.64,0.0,13.76
Naples,20.42,17.22,16.71,18.07,3.48,11.3,17.98,10.95,13.9,24.64,16.99,26.15,20.93,26.64,28.02,29.39,10.11,18.77,11.45,8.39,13.57,9.84,8.32,7.02,28.13,24.05,22.02,11.51,14.79,10.95,22.02,8.4,10.25,8.63,15.09,11.51,15.06,0.0,21.04,18.09,12.01,23.7,28.88,10.64,23.2,23.23,14.73,23.57,6.36,10.25,15.06,11.45
Seville,20.08,18.11,27.29,4.7,19.47,26.26,32.84,28.25,26.19,5.19,20.19,22.26,29.75,36.91,34.64,41.54,30.79,23.04,19.28,15.23,33.95,30.68,28.02,23.65,40.72,37.79,37.1,27.09,20.03,17.64,42.54,24.19,13.51,18.38,22.25,22.34,6.14,21.04,0.0,21.4,18.58,31.93,33.18,31.68,26.14,6.43,29.98,22.43,19.46,13.51,6.14,19.28
Antwerp,3.5,3.3,7.9,16.72,14.65,11.59,14.74,14.73,8.94,20.95,1.39,8.99,8.69,15.7,13.36,20.58,25.96,1.64,6.65,11.47,22.72,21.96,17.84,13.18,19.96,17.85,18.18,12.43,3.3,7.48,36.53,12.27,11.16,9.54,3.8,7.57,17.13,18.09,21.4,0.0,6.2,10.58,12.53,24.63,5.62,18.05,13.31,5.84,11.73,11.16,17.13,6.65
Basel,8.46,5.42,8.8,13.99,8.53,8.56,14.39,11.36,7.67,19.64,5.0,14.26,11.94,18.99,18.23,23.25,20.56,7.18,0.95,5.56,18.92,17.28,13.31,8.2,22.33,19.22,18.57,9.49,2.93,1.39,31.74,7.78,5.9,3.38,4.27,4.0,13.19,12.01,18.58,6.2,0.0,14.53,18.14,19.65,11.65,17.12,11.8,11.57,5.71,5.9,13.19,0.95
Gothenburg,12.84,13.88,7.0,27.24,20.85,12.95,10.04,15.12,9.87,31.47,11.75,15.33,2.78,5.22,4.42,10.3,28.27,8.95,14.31,19.95,21.81,23.03,19.37,16.88,9.95,9.3,11.03,13.2,12.19,15.88,36.36,15.5,20.41,16.88,10.27,12.54,27.3,23.7,31.93,10.58,14.53,0.0,6.57,26.0,7.52,28.54,11.31,12.44,18.09,20.41,27.3,14.31
Bergen,13.1,15.48,12.72,28.65,25.72,18.89,16.6,21.36,15.61,31.65,13.92,12.85,8.69,9.26,3.47,13.85,34.45,11.12,18.23,23.69,28.33,29.35,25.54,22.44,14.12,14.99,17.19,19.28,15.31,19.53,42.9,21.13,23.63,21.11,14.1,17.37,29.52,28.88,33.18,12.53,18.14,6.57,0.0,32.31,7.11,28.68,17.75,11.1,22.8,23.63,29.52,18.23
Thessaloniki,27.74,25.01,19.73,28.64,12.88,13.68,16.93,10.95,16.99,35.22,23.95,33.54,23.62,26.93,30.34,27.81,2.98,24.66,18.79,18.15,5.93,2.97,6.92,11.54,26.42,22.24,19.48,13.13,21.7,19.14,12.11,12.37,20.17,16.84,20.91,17.06,25.7,10.64,31.68,24.63,19.65,26.0,32.31,0.0,28.48,33.66,14.73,30.47,14.51,20.17,25.7,18.79
Edinburgh,6.1,8.38,9.25,21.58,19.84,14.83,15.41,17.8,11.59,24.9,7.0,7.85,7.17,12.61,8.69,17.73,30.18,4.49,11.94,17.07,25.59,25.63,21.55,17.5,17.46,16.53,17.74,15.49,8.72,12.99,39.96,16.36,16.78,14.88,8.13,11.92,22.41,23.2,26.14,5.62,11.65,7.52,7.11,28.48,0.0,21.92,15.17,4.94,16.88,16.78,22.41,11.94
Porto,15.88,14.82,25.09,5.46,20.82,25.57,31.38,28.09,24.68,2.98,17.08,16.78,26.73,33.71,30.61,38.63,33.33,19.65,17.99,15.72,34.84,32.12,28.85,23.94,37.99,35.59,35.4,26.48,17.64,16.61,45.25,24.11,13.7,18.11,19.91,21.12,8.96,23.23,6.43,18.05,17.12,28.54,28.68,33.66,21.92,0.0,28.91,17.61,19.86,13.7,8.96,17.99
Krakow,16.81,15.38,5.94,25.56,13.0,3.9,3.28,4.17,4.47,31.42,13.38,21.91,9.12,12.54,15.61,14.68,17.15,12.54,10.94,15.02,10.65,11.77,8.39,7.9,13.4,9.32,7.56,3.32,11.8,12.45,25.22,6.69,16.51,11.67,9.82,7.8,24.14,14.73,29.98,13.31,11.8,11.31,17.75,14.73,15.17,28.91,0.0,18.57,11.26,16.51,24.14,10.94
Manchester,3.26,6.57,12.74,18.09,20.09,17.3,19.43,20.43,14.42,20.58,6.65,3.35,11.75,17.55,13.36,22.67,31.77,6.08,12.2,16.2,28.42,27.79,23.67,19.0,22.39,21.26,22.23,18.11,8.93,12.66,42.35,18.1,15.33,14.94,9.59,13.4,19.55,23.57,22.43,5.84,11.57,12.44,11.1,30.47,4.94,17.61,18.57,0.0,17.26,15.33,19.55,12.2
Bologna,14.16,11.05,11.27,15.47,2.96,7.36,14.47,8.83,8.81,21.88,10.65,19.95,15.32,21.68,22.25,25.14,15.08,12.43,5.09,4.27,14.98,12.5,8.99,4.2,24.0,20.25,18.81,8.02,8.43,4.81,26.59,4.81,6.21,2.42,8.81,5.56,13.38,6.36,19.46,11.73,5.71,18.09,22.8,14.51,16.88,19.86,11.26,17.26,0.0,6.21,13.38,5.09
Marseille,12.08,8.83,14.57,9.31,7.3,12.75,19.48,14.81,12.97,15.68,9.78,17.22,17.84,24.88,24.01,29.04,20.2,12.51,6.29,2.03,21.16,18.46,15.17,10.37,28.06,24.75,23.79,13.58,8.4,4.62,32.04,10.75,0.0,4.87,10.14,9.08,7.64,10.25,13.51,11.16,5.9,20.41,23.63,20.17,16.78,13.7,16.51,15.33,6.21,0.0,7.64,6.29
Valencia,16.68,14.04,21.99,3.5,13.34,20.35,27.12,22.2,20.58,9.72,15.79,20.29,24.9,32.05,30.47,36.43,24.99,18.7,13.76,9.2,27.82,24.59,21.88,17.56,35.52,32.33,31.43,21.14,15.13,12.08,36.85,18.15,7.64,12.47,17.2,16.68,0.0,15.06,6.14,17.13,13.19,27.3,29.52,25.7,22.41,8.96,24.14,19.55,13.38,7.64,0.0,13.76
Zurich,9.16,6.23,8.28,14.73,8.0,7.64,13.61,10.42,6.92,20.48,5.56,14.99,11.65,18.61,18.14,22.75,19.76,7.46,0.0,5.65,17.98,16.38,12.4,7.3,21.79,18.58,17.83,8.56,3.34,1.69,30.87,6.84,6.29,2.94,4.17,3.14,13.76,11.45,19.28,6.65,0.95,14.31,18.23,18.79,11.94,17.99,10.94,12.2,5.09,6.29,13.76,0.0
