,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
Brussels,30.39,18.23,66.74,123.94,108.18,90.21,120.73,115.22,71.42,159.5,0.0,76.75,77.52,134.33,117.48,172.76,201.19,23.31,44.5,81.13,178.85,170.89,138.07,99.44,167.35,148.81,149.84,97.27,18.23,49.75,287.48,93.02,78.21,67.06,28.59,55.67,126.31,135.93,161.48,11.12,40.01,93.98,111.37,191.61,56.01,136.64,107.03,53.24,85.18,78.21,126.31,44.5
Dublin,46.69,71.43,128.71,146.33,181.4,164.45,182.02,189.55,141.89,157.35,76.75,0.0,119.38,162.31,124.75,203.2,277.75,75.21,119.94,146.92,253.45,247.39,214.46,176.19,201.81,194.96,203.7,171.03,94.86,121.63,363.98,169.59,137.74,140.54,102.29,132.04,162.28,209.21,178.08,71.91,114.11,122.67,102.77,268.34,62.83,134.28,175.3,26.76,159.64,137.74,162.28,119.94
Copenhagen,91.63,95.42,34.01,200.36,144.55,82.58,68.16,101.43,57.22,236.91,77.52,119.38,0.0,57.39,56.86,95.25,206.36,57.02,93.22,138.24,158.09,165.28,135.07,113.22,90.21,76.29,84.55,85.13,78.28,106.07,274.69,102.28,142.7,113.22,61.82,78.14,199.19,167.45,237.98,69.53,95.53,22.24,69.49,188.99,57.36,213.86,72.98,93.99,122.52,142.7,199.19,93.22
Stockholm,144.46,151.88,83.91,257.68,193.55,123.01,80.08,133.6,103.31,293.05,134.33,162.31,57.39,0.0,46.47,41.02,236.24,112.61,148.9,193.26,175.45,192.18,167.35,156.98,40.07,48.93,70.18,122.49,135.63,162.12,288.56,145.94,199.01,167.07,118.82,130.61,256.4,213.14,295.31,125.57,151.95,41.74,74.08,215.46,100.85,269.72,100.28,140.36,173.46,199.01,256.4,148.9
Oslo,117.96,132.55,90.87,240.01,200.62,138.94,111.91,156.0,114.03,268.64,117.48,124.75,56.86,46.47,0.0,83.22,261.27,94.17,145.14,190.12,207.7,218.94,190.13,170.07,85.19,93.46,112.29,140.87,124.95,156.92,323.61,159.12,192.04,166.92,111.91,133.59,243.79,224.12,277.1,106.87,145.87,35.32,27.79,242.7,69.49,244.86,124.88,106.84,178.04,192.04,243.79,145.14
Helsinki,184.84,190.67,115.75,294.77,218.94,145.52,92.33,149.75,131.1,332.15,172.76,203.2,95.25,41.02,83.22,0.0,245.04,151.92,182.01,224.77,178.04,200.62,181.05,179.54,11.12,44.87,66.72,143.07,172.05,195.48,283.94,169.01,232.31,197.72,154.43,161.07,291.45,235.15,332.33,164.65,186.01,82.39,110.77,222.5,141.86,309.04,117.48,181.38,201.14,232.31,291.45,182.01
Athens,231.07,207.78,174.03,224.97,103.61,124.79,156.45,105.27,151.36,277.26,201.19,277.75,206.36,236.24,261.27,245.04,0.0,209.24,158.08,145.97,71.3,44.48,71.3,102.35,233.95,200.29,178.56,121.34,182.98,158.89,95.34,110.71,161.64,139.88,178.77,147.59,199.93,80.85,246.33,207.65,164.45,226.19,275.58,23.86,241.44,266.65,137.16,254.13,120.61,161.64,199.93,158.08
Amsterdam,36.34,39.53,54.74,146.84,123.08,90.2,109.31,115.11,66.74,180.45,23.31,75.21,57.02,112.61,94.17,151.92,209.24,0.0,59.66,101.19,178.85,175.23,142.25,106.99,147.21,131.4,135.2,96.45,34.1,68.29,291.31,98.7,100.08,83.2,30.58,61.75,149.62,150.19,184.29,13.1,57.44,71.58,88.96,197.25,35.88,157.19,100.29,48.65,99.45,100.08,149.62,59.66
Zurich,73.31,49.86,66.26,117.82,63.99,61.09,108.88,83.35,55.35,163.85,44.5,119.94,93.22,148.9,145.14,182.01,158.08,59.66,0.0,45.17,143.85,131.03,99.17,58.44,174.32,148.62,142.67,68.48,26.76,13.5,246.96,54.7,50.34,23.54,33.36,25.13,110.08,91.59,154.21,53.18,7.58,114.47,145.87,150.28,95.53,143.95,87.54,97.61,40.73,50.34,110.08,0.0
Monaco,103.48,77.05,109.67,89.64,42.46,89.4,144.71,104.16,94.4,141.18,81.13,146.92,138.24,193.26,190.12,224.77,145.97,101.19,45.17,0.0,153.31,131.44,105.33,67.71,216.48,188.61,179.46,95.61,67.16,33.36,240.42,71.64,16.26,27.39,78.21,63.72,73.64,67.13,121.88,91.8,44.48,159.62,189.52,145.18,136.53,125.75,120.14,129.58,34.12,16.26,73.64,45.17
Bucharest,208.89,191.01,131.05,242.43,115.85,89.03,96.36,63.91,112.62,294.44,178.85,253.45,158.09,175.45,207.7,178.04,71.3,178.85,143.85,153.31,0.0,33.01,47.98,87.88,166.93,134.18,111.43,82.45,162.28,150.67,116.61,89.22,169.29,135.03,151.41,123.85,222.53,108.54,271.61,181.75,151.39,174.48,226.67,47.45,204.7,278.73,85.18,227.32,119.81,169.29,222.53,143.85
Sofia,201.27,180.43,134.32,218.48,90.83,86.41,112.21,63.99,112.73,271.02,170.89,247.39,165.28,192.18,218.94,200.62,44.48,175.23,131.03,131.44,33.01,0.0,33.01,72.59,189.54,155.84,134.25,81.66,153.16,135.2,116.6,77.87,147.7,117.57,145.62,115.35,196.7,78.69,245.41,175.71,138.21,184.21,234.77,23.77,205.03,256.99,94.13,222.33,99.99,147.7,196.7,131.03
Belgrade,168.46,148.12,102.97,194.5,68.72,54.14,89.26,34.26,80.7,246.46,138.07,214.46,135.07,167.35,190.13,181.05,71.3,142.25,99.17,105.33,47.98,33.01,0.0,41.18,170.23,136.4,116.95,50.14,120.47,104.48,149.52,45.16,121.33,87.88,112.62,82.45,175.07,66.57,224.19,142.73,106.52,154.98,204.34,55.4,172.43,230.82,67.14,189.33,71.95,121.33,175.07,99.17
Zagreb,129.67,107.97,79.21,157.28,41.2,34.22,89.44,38.06,56.1,208.33,99.44,176.19,113.22,156.98,170.07,179.54,102.35,106.99,58.44,67.71,87.88,72.59,41.18,0.0,169.63,137.62,123.16,36.7,81.38,63.31,188.7,11.12,82.96,47.17,76.46,45.27,140.45,56.2,189.24,105.4,65.64,135.04,179.54,92.29,140.02,191.55,63.18,152.0,33.61,82.96,140.45,58.44
Tallinn,181.03,185.42,108.19,288.32,209.35,135.75,81.78,139.21,122.39,326.85,167.35,201.81,90.21,40.07,85.19,11.12,233.95,147.21,174.32,216.48,166.93,189.54,170.23,169.63,0.0,33.89,55.6,133.05,165.62,187.82,273.23,159.22,224.52,189.29,147.77,152.76,284.13,225.03,325.79,159.72,178.62,79.62,112.98,211.39,139.71,303.94,107.21,179.12,192.02,224.52,284.13,174.32
Riga,167.17,167.02,84.4,265.25,178.02,104.31,48.6,105.82,94.32,306.91,148.81,194.96,76.29,48.93,93.46,44.87,200.29,131.4,148.62,188.61,134.18,155.84,136.4,137.62,33.89,0.0,23.13,100.92,143.93,162.03,243.34,127.55,198.01,161.22,125.71,125.44,258.62,192.38,302.3,142.84,153.74,74.38,119.94,177.91,132.21,284.71,74.59,170.1,162.02,198.01,258.62,148.62
Vilnius,171.54,167.74,83.21,260.46,164.25,91.61,34.79,88.58,87.32,304.65,149.84,203.7,84.55,70.18,112.29,66.72,178.56,135.2,142.67,179.46,111.43,134.25,116.95,123.16,55.6,23.13,0.0,86.98,142.23,155.7,220.26,113.89,190.34,152.23,124.21,118.2,251.44,176.14,296.83,145.43,148.59,88.24,137.51,155.85,141.9,283.22,60.5,177.84,150.44,190.34,251.44,142.67
Bratislava,126.9,110.89,52.86,182.27,77.4,7.44,52.86,18.69,31.2,230.86,97.27,171.03,85.13,122.49,140.87,143.07,121.34,96.45,68.48,95.61,82.45,81.66,50.14,36.7,133.05,100.92,86.98,0.0,81.73,78.96,195.82,26.92,108.62,69.68,69.27,44.63,169.14,92.12,216.69,99.47,75.89,105.57,154.24,105.01,123.91,211.83,26.6,144.88,64.2,108.62,169.14,68.48
Luxembourg City,48.29,29.18,59.66,122.74,90.74,74.46,110.98,99.11,58.8,163.04,18.23,94.86,78.28,135.63,124.95,172.05,182.98,34.1,26.76,67.16,162.28,153.16,120.47,81.38,165.62,143.93,142.23,81.73,0.0,34.19,269.71,75.33,67.16,49.95,18.23,38.47,121.01,118.34,160.28,26.43,23.45,97.51,122.48,173.63,69.79,141.14,94.41,71.43,67.46,67.16,121.01,26.76
Bern,75.77,50.22,79.73,105.05,59.79,71.73,121.68,92.43,68.44,152.11,49.75,121.63,106.07,162.12,156.92,195.48,158.89,68.29,13.5,33.36,150.67,135.2,104.48,63.31,187.82,162.03,155.7,78.96,34.19,0.0,249.92,61.77,36.93,19.15,45.09,37.6,96.62,87.63,141.13,59.82,11.12,127.03,156.23,153.09,103.95,132.87,99.59,101.25,38.51,36.93,96.62,13.5
Nicosia,317.87,296.66,246.82,320.18,197.96,201.46,211.73,177.24,226.92,372.31,287.48,363.98,274.69,288.56,323.61,283.94,95.34,291.31,246.96,240.42,116.61,116.6,149.52,188.7,273.23,243.34,220.26,195.82,269.71,249.92,0.0,194.46,256.34,231.46,262.05,231.94,294.77,176.18,340.3,292.24,253.94,290.91,343.22,96.84,319.66,361.99,201.73,338.8,212.71,256.34,294.77,246.96
Ljubljana,123.41,103.04,68.29,160.39,50.53,23.5,79.73,32.57,45.09,210.57,93.02,169.59,102.28,145.94,159.12,169.01,110.71,98.7,54.7,71.64,89.22,77.87,45.16,11.12,159.22,127.55,113.89,26.92,75.33,61.77,194.46,0.0,85.96,48.05,68.44,37.6,145.17,67.21,193.5,98.12,62.21,124.03,169.01,98.92,130.85,192.89,53.5,144.81,38.51,85.96,145.17,54.7
Marseille,96.64,70.61,116.57,74.46,58.44,102.03,155.8,118.51,103.79,125.43,78.21,137.74,142.7,199.01,192.04,232.31,161.64,100.08,50.34,16.26,169.29,147.7,121.33,82.96,224.52,198.01,190.34,108.62,67.16,36.93,256.34,85.96,0.0,38.96,81.13,72.6,61.12,81.98,108.07,89.28,47.17,163.31,189.03,161.34,134.21,109.58,132.1,122.65,49.64,0.0,61.12,50.34
Milan,94.4,69.2,83.2,112.83,41.2,63.08,117.53,80.32,67.06,162.55,67.06,140.54,113.22,167.07,166.92,197.72,139.88,83.2,23.54,27.39,135.03,117.57,87.88,47.17,189.29,161.22,152.23,69.68,49.95,19.15,231.46,48.05,38.96,0.0,56.1,36.7,99.8,69.04,147.02,76.35,27.08,135.04,168.9,134.68,119.07,144.91,93.33,119.54,19.37,38.96,99.8,23.54
Frankfurt,57.63,44.72,41.44,140.56,94.13,62.41,93.51,87.54,42.87,181.26,28.59,102.29,61.82,118.82,111.91,154.43,178.77,30.58,33.36,78.21,151.41,145.62,112.62,76.46,147.77,125.71,124.21,69.27,18.23,45.09,262.05,68.44,81.13,56.1,0.0,31.2,137.6,120.69,178.02,30.39,34.16,82.17,112.8,167.27,65.05,159.32,78.55,76.75,70.47,81.13,137.6,33.36
Munich,86.05,67.2,46.71,142.64,67.18,37.2,84.07,61.09,31.2,188.98,55.67,132.04,78.14,130.61,133.59,161.07,147.59,61.75,25.13,63.72,123.85,115.35,82.45,45.27,152.76,125.44,118.2,44.63,38.47,37.6,231.94,37.6,72.6,36.7,31.2,0.0,133.47,92.12,178.69,60.53,32.04,100.3,138.94,136.52,95.39,168.98,62.41,107.21,44.48,72.6,133.47,25.13
Valencia,133.43,112.33,175.95,28.04,106.7,162.76,216.93,177.61,164.65,77.74,126.31,162.28,199.19,256.4,243.79,291.45,199.93,149.62,110.08,73.64,222.53,196.7,175.07,140.45,284.13,258.62,251.44,169.14,121.01,96.62,294.77,145.17,61.12,99.8,137.6,133.47,0.0,120.51,49.12,137.04,105.51,218.42,236.12,205.6,179.32,71.65,193.11,156.42,107.02,61.12,0.0,110.08
Naples,163.36,137.78,133.65,144.59,27.86,90.37,143.81,87.62,111.19,197.11,135.93,209.21,167.45,213.14,224.12,235.15,80.85,150.19,91.59,67.13,108.54,78.69,66.57,56.2,225.03,192.38,176.14,92.12,118.34,87.63,176.18,67.21,81.98,69.04,120.69,92.12,120.51,0.0,168.33,144.74,96.07,189.58,231.01,85.14,185.63,185.86,117.87,188.58,50.91,81.98,120.51,91.59
Seville,160.63,144.92,218.32,37.62,155.76,210.06,262.74,226.04,209.54,41.5,161.48,178.08,237.98,295.31,277.1,332.33,246.33,184.29,154.21,121.88,271.61,245.41,224.19,189.24,325.79,302.3,296.83,216.69,160.28,141.13,340.3,193.5,108.07,147.02,178.02,178.69,49.12,168.33,0.0,171.21,148.64,255.45,265.47,253.43,209.15,51.47,239.81,179.43,155.68,108.07,49.12,154.21
Antwerp,27.99,26.43,63.24,133.78,117.17,92.72,117.93,117.85,71.54,167.56,11.12,71.91,69.53,125.57,106.87,164.65,207.65,13.1,53.18,91.8,181.75,175.71,142.73,105.4,159.72,142.84,145.43,99.47,26.43,59.82,292.24,98.12,89.28,76.35,30.39,60.53,137.04,144.74,171.21,0.0,49.56,84.65,100.27,197.04,44.98,144.39,106.49,46.69,93.84,89.28,137.04,53.18
Basel,67.67,43.33,70.44,111.92,68.26,68.48,115.11,90.91,61.38,157.14,40.01,114.11,95.53,151.95,145.87,186.01,164.45,57.44,7.58,44.48,151.39,138.21,106.52,65.64,178.62,153.74,148.59,75.89,23.45,11.12,253.94,62.21,47.17,27.08,34.16,32.04,105.51,96.07,148.64,49.56,0.0,116.27,145.14,157.19,93.22,136.96,94.37,92.54,45.65,47.17,105.51,7.58
Gothenburg,102.71,111.08,55.97,217.88,166.79,103.63,80.31,120.93,78.94,251.74,93.98,122.67,22.24,41.74,35.32,82.39,226.19,71.58,114.47,159.62,174.48,184.21,154.98,135.04,79.62,74.38,88.24,105.57,97.51,127.03,290.91,124.03,163.31,135.04,82.17,100.3,218.42,189.58,255.45,84.65,116.27,0.0,52.55,207.98,60.16,228.31,90.46,99.51,144.72,163.31,218.42,114.47
Bergen,104.84,123.81,101.76,229.23,205.78,151.12,132.83,170.89,124.88,253.24,111.37,102.77,69.49,74.08,27.79,110.77,275.58,88.96,145.87,189.52,226.67,234.77,204.34,179.54,112.98,119.94,137.51,154.24,122.48,156.23,343.22,169.01,189.03,168.9,112.8,138.94,236.12,231.01,265.47,100.27,145.14,52.55,0.0,258.47,56.86,229.45,142.01,88.79,182.41,189.03,236.12,145.87
Thessaloniki,221.91,200.08,157.8,229.1,103.04,109.45,135.4,87.62,135.93,281.74,191.61,268.34,188.99,215.46,242.7,222.5,23.86,197.25,150.28,145.18,47.45,23.77,55.4,92.29,211.39,177.91,155.85,105.01,173.63,153.09,96.84,98.92,161.34,134.68,167.27,136.52,205.6,85.14,253.43,197.04,157.19,207.98,258.47,0.0,227.82,269.28,117.87,243.73,116.1,161.34,205.6,150.28
Edinburgh,48.79,67.07,73.99,172.62,158.73,118.65,123.25,142.43,92.75,199.19,56.01,62.83,57.36,100.85,69.49,141.86,241.44,35.88,95.53,136.53,204.7,205.03,172.43,140.02,139.71,132.21,141.9,123.91,69.79,103.95,319.66,130.85,134.21,119.07,65.05,95.39,179.32,185.63,209.15,44.98,93.22,60.16,56.86,227.82,0.0,175.4,121.36,39.51,135.07,134.21,179.32,95.53
Porto,127.04,118.52,200.75,43.71,166.55,204.58,251.04,224.75,197.44,23.81,136.64,134.28,213.86,269.72,244.86,309.04,266.65,157.19,143.95,125.75,278.73,256.99,230.82,191.55,303.94,284.71,283.22,211.83,141.14,132.87,361.99,192.89,109.58,144.91,159.32,168.98,71.65,185.86,51.47,144.39,136.96,228.31,229.45,269.28,175.4,0.0,231.31,140.86,158.92,109.58,71.65,143.95
Krakow,134.47,123.0,47.49,204.44,103.99,31.2,26.27,33.36,35.73,251.39,107.03,175.3,72.98,100.28,124.88,117.48,137.16,100.29,87.54,120.14,85.18,94.13,67.14,63.18,107.21,74.59,60.5,26.6,94.41,99.59,201.73,53.5,132.1,93.33,78.55,62.41,193.11,117.87,239.81,106.49,94.37,90.46,142.01,117.87,121.36,231.31,0.0,148.56,90.08,132.1,193.11,87.54
Manchester,26.11,52.53,101.95,144.75,160.74,138.43,155.41,163.47,115.39,164.6,53.24,26.76,93.99,140.36,106.84,181.38,254.13,48.65,97.61,129.58,227.32,222.33,189.33,152.0,179.12,170.1,177.84,144.88,71.43,101.25,338.8,144.81,122.65,119.54,76.75,107.21,156.42,188.58,179.43,46.69,92.54,99.51,88.79,243.73,39.51,140.86,148.56,0.0,138.12,122.65,156.42,97.61
Bologna,113.3,88.42,90.18,123.75,23.68,58.88,115.75,70.66,70.47,175.07,85.18,159.64,122.52,173.46,178.04,201.14,120.61,99.45,40.73,34.12,119.81,99.99,71.95,33.61,192.02,162.02,150.44,64.2,67.46,38.51,212.71,38.51,49.64,19.37,70.47,44.48,107.02,50.91,155.68,93.84,45.65,144.72,182.41,116.1,135.07,158.92,90.08,138.12,0.0,49.64,107.02,40.73
Marseille,96.64,70.61,116.57,74.46,58.44,102.03,155.8,118.51,103.79,125.43,78.21,137.74,142.7,199.01,192.04,232.31,161.64,100.08,50.34,16.26,169.29,147.7,121.33,82.96,224.52,198.01,190.34,108.62,67.16,36.93,256.34,85.96,0.0,38.96,81.13,72.6,61.12,81.98,108.07,89.28,47.17,163.31,189.03,161.34,134.21,109.58,132.1,122.65,49.64,0.0,61.12,50.34
Valencia,133.43,112.33,175.95,28.04,106.7,162.76,216.93,177.61,164.65,77.74,126.31,162.28,199.19,256.4,243.79,291.45,199.93,149.62,110.08,73.64,222.53,196.7,175.07,140.45,284.13,258.62,251.44,169.14,121.01,96.62,294.77,145.17,61.12,99.8,137.6,133.47,0.0,120.51,49.12,137.04,105.51,218.42,236.12,205.6,179.32,71.65,193.11,156.42,107.02,61.12,0.0,110.08
Zurich,73.31,49.86,66.26,117.82,63.99,61.09,108.88,83.35,55.35,163.85,44.5,119.94,93.22,148.9,145.14,182.01,158.08,59.66,0.0,45.17,143.85,131.03,99.17,58.44,174.32,148.62,142.67,68.48,26.76,13.5,246.96,54.7,50.34,23.54,33.36,25.13,110.08,91.59,154.21,53.18,7.58,114.47,145.87,150.28,95.53,143.95,87.54,97.61,40.73,50.34,110.08,0.0
