,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
Brussels,3.04,1.82,6.67,12.39,10.82,9.02,12.07,11.52,7.14,15.95,0.0,7.67,7.75,13.43,11.75,17.28,20.12,2.33,4.45,8.11,17.89,17.09,13.81,9.94,16.73,14.88,14.98,9.73,1.82,4.98,28.75,9.3,7.82,6.71,2.86,5.57,12.63,13.59,16.15,1.11,4.0,9.4,11.14,19.16,5.6,13.66,10.7,5.32,8.52,7.82,12.63,4.45
Dublin,4.67,7.14,12.87,14.63,18.14,16.44,18.2,18.95,14.19,15.74,7.67,0.0,11.94,16.23,12.48,20.32,27.77,7.52,11.99,14.69,25.35,24.74,21.45,17.62,20.18,19.5,20.37,17.1,9.49,12.16,36.4,16.96,13.77,14.05,10.23,13.2,16.23,20.92,17.81,7.19,11.41,12.27,10.28,26.83,6.28,13.43,17.53,2.68,15.96,13.77,16.23,11.99
Copenhagen,9.16,9.54,3.4,20.04,14.46,8.26,6.82,10.14,5.72,23.69,7.75,11.94,0.0,5.74,5.69,9.53,20.64,5.7,9.32,13.82,15.81,16.53,13.51,11.32,9.02,7.63,8.46,8.51,7.83,10.61,27.47,10.23,14.27,11.32,6.18,7.81,19.92,16.74,23.8,6.95,9.55,2.22,6.95,18.9,5.74,21.39,7.3,9.4,12.25,14.27,19.92,9.32
Stockholm,14.45,15.19,8.39,25.77,19.35,12.3,8.01,13.36,10.33,29.3,13.43,16.23,5.74,0.0,4.65,4.1,23.62,11.26,14.89,19.33,17.54,19.22,16.73,15.7,4.01,4.89,7.02,12.25,13.56,16.21,28.86,14.59,19.9,16.71,11.88,13.06,25.64,21.31,29.53,12.56,15.19,4.17,7.41,21.55,10.08,26.97,10.03,14.04,17.35,19.9,25.64,14.89
Oslo,11.8,13.26,9.09,24.0,20.06,13.89,11.19,15.6,11.4,26.86,11.75,12.48,5.69,4.65,0.0,8.32,26.13,9.42,14.51,19.01,20.77,21.89,19.01,17.01,8.52,9.35,11.23,14.09,12.5,15.69,32.36,15.91,19.2,16.69,11.19,13.36,24.38,22.41,27.71,10.69,14.59,3.53,2.78,24.27,6.95,24.49,12.49,10.68,17.8,19.2,24.38,14.51
Helsinki,18.48,19.07,11.57,29.48,21.89,14.55,9.23,14.98,13.11,33.22,17.28,20.32,9.53,4.1,8.32,0.0,24.5,15.19,18.2,22.48,17.8,20.06,18.1,17.95,1.11,4.49,6.67,14.31,17.21,19.55,28.39,16.9,23.23,19.77,15.44,16.11,29.15,23.51,33.23,16.47,18.6,8.24,11.08,22.25,14.19,30.9,11.75,18.14,20.11,23.23,29.15,18.2
Athens,23.11,20.78,17.4,22.5,10.36,12.48,15.64,10.53,15.14,27.73,20.12,27.77,20.64,23.62,26.13,24.5,0.0,20.92,15.81,14.6,7.13,4.45,7.13,10.24,23.39,20.03,17.86,12.13,18.3,15.89,9.53,11.07,16.16,13.99,17.88,14.76,19.99,8.08,24.63,20.77,16.45,22.62,27.56,2.39,24.14,26.67,13.72,25.41,12.06,16.16,19.99,15.81
Amsterdam,3.63,3.95,5.47,14.68,12.31,9.02,10.93,11.51,6.67,18.04,2.33,7.52,5.7,11.26,9.42,15.19,20.92,0.0,5.97,10.12,17.89,17.52,14.22,10.7,14.72,13.14,13.52,9.65,3.41,6.83,29.13,9.87,10.01,8.32,3.06,6.17,14.96,15.02,18.43,1.31,5.74,7.16,8.9,19.73,3.59,15.72,10.03,4.86,9.94,10.01,14.96,5.97
Zurich,7.33,4.99,6.63,11.78,6.4,6.11,10.89,8.33,5.54,16.39,4.45,11.99,9.32,14.89,14.51,18.2,15.81,5.97,0.0,4.52,14.38,13.1,9.92,5.84,17.43,14.86,14.27,6.85,2.68,1.35,24.7,5.47,5.03,2.35,3.34,2.51,11.01,9.16,15.42,5.32,0.76,11.45,14.59,15.03,9.55,14.39,8.75,9.76,4.07,5.03,11.01,0.0
Monaco,10.35,7.7,10.97,8.96,4.25,8.94,14.47,10.42,9.44,14.12,8.11,14.69,13.82,19.33,19.01,22.48,14.6,10.12,4.52,0.0,15.33,13.14,10.53,6.77,21.65,18.86,17.95,9.56,6.72,3.34,24.04,7.16,1.63,2.74,7.82,6.37,7.36,6.71,12.19,9.18,4.45,15.96,18.95,14.52,13.65,12.58,12.01,12.96,3.41,1.63,7.36,4.52
Bucharest,20.89,19.1,13.11,24.24,11.59,8.9,9.64,6.39,11.26,29.44,17.89,25.35,15.81,17.54,20.77,17.8,7.13,17.89,14.38,15.33,0.0,3.3,4.8,8.79,16.69,13.42,11.14,8.24,16.23,15.07,11.66,8.92,16.93,13.5,15.14,12.39,22.25,10.85,27.16,18.18,15.14,17.45,22.67,4.74,20.47,27.87,8.52,22.73,11.98,16.93,22.25,14.38
Sofia,20.13,18.04,13.43,21.85,9.08,8.64,11.22,6.4,11.27,27.1,17.09,24.74,16.53,19.22,21.89,20.06,4.45,17.52,13.1,13.14,3.3,0.0,3.3,7.26,18.95,15.58,13.42,8.17,15.32,13.52,11.66,7.79,14.77,11.76,14.56,11.53,19.67,7.87,24.54,17.57,13.82,18.42,23.48,2.38,20.5,25.7,9.41,22.23,10.0,14.77,19.67,13.1
Belgrade,16.85,14.81,10.3,19.45,6.87,5.41,8.93,3.43,8.07,24.65,13.81,21.45,13.51,16.73,19.01,18.1,7.13,14.22,9.92,10.53,4.8,3.3,0.0,4.12,17.02,13.64,11.7,5.01,12.05,10.45,14.95,4.52,12.13,8.79,11.26,8.24,17.51,6.66,22.42,14.27,10.65,15.5,20.43,5.54,17.24,23.08,6.71,18.93,7.2,12.13,17.51,9.92
Zagreb,12.97,10.8,7.92,15.73,4.12,3.42,8.94,3.81,5.61,20.83,9.94,17.62,11.32,15.7,17.01,17.95,10.24,10.7,5.84,6.77,8.79,7.26,4.12,0.0,16.96,13.76,12.32,3.67,8.14,6.33,18.87,1.11,8.3,4.72,7.65,4.53,14.05,5.62,18.92,10.54,6.56,13.5,17.95,9.23,14.0,19.16,6.32,15.2,3.36,8.3,14.05,5.84
Tallinn,18.1,18.54,10.82,28.83,20.94,13.58,8.18,13.92,12.24,32.68,16.73,20.18,9.02,4.01,8.52,1.11,23.39,14.72,17.43,21.65,16.69,18.95,17.02,16.96,0.0,3.39,5.56,13.3,16.56,18.78,27.32,15.92,22.45,18.93,14.78,15.28,28.41,22.5,32.58,15.97,17.86,7.96,11.3,21.14,13.97,30.39,10.72,17.91,19.2,22.45,28.41,17.43
Riga,16.72,16.7,8.44,26.53,17.8,10.43,4.86,10.58,9.43,30.69,14.88,19.5,7.63,4.89,9.35,4.49,20.03,13.14,14.86,18.86,13.42,15.58,13.64,13.76,3.39,0.0,2.31,10.09,14.39,16.2,24.33,12.76,19.8,16.12,12.57,12.54,25.86,19.24,30.23,14.28,15.37,7.44,11.99,17.79,13.22,28.47,7.46,17.01,16.2,19.8,25.86,14.86
Vilnius,17.15,16.77,8.32,26.05,16.42,9.16,3.48,8.86,8.73,30.47,14.98,20.37,8.46,7.02,11.23,6.67,17.86,13.52,14.27,17.95,11.14,13.42,11.7,12.32,5.56,2.31,0.0,8.7,14.22,15.57,22.03,11.39,19.03,15.22,12.42,11.82,25.14,17.61,29.68,14.54,14.86,8.82,13.75,15.59,14.19,28.32,6.05,17.78,15.04,19.03,25.14,14.27
Bratislava,12.69,11.09,5.29,18.23,7.74,0.74,5.29,1.87,3.12,23.09,9.73,17.1,8.51,12.25,14.09,14.31,12.13,9.65,6.85,9.56,8.24,8.17,5.01,3.67,13.3,10.09,8.7,0.0,8.17,7.9,19.58,2.69,10.86,6.97,6.93,4.46,16.91,9.21,21.67,9.95,7.59,10.56,15.42,10.5,12.39,21.18,2.66,14.49,6.42,10.86,16.91,6.85
Luxembourg City,4.83,2.92,5.97,12.27,9.07,7.45,11.1,9.91,5.88,16.3,1.82,9.49,7.83,13.56,12.5,17.21,18.3,3.41,2.68,6.72,16.23,15.32,12.05,8.14,16.56,14.39,14.22,8.17,0.0,3.42,26.97,7.53,6.72,4.99,1.82,3.85,12.1,11.83,16.03,2.64,2.35,9.75,12.25,17.36,6.98,14.11,9.44,7.14,6.75,6.72,12.1,2.68
Bern,7.58,5.02,7.97,10.5,5.98,7.17,12.17,9.24,6.84,15.21,4.98,12.16,10.61,16.21,15.69,19.55,15.89,6.83,1.35,3.34,15.07,13.52,10.45,6.33,18.78,16.2,15.57,7.9,3.42,0.0,24.99,6.18,3.69,1.91,4.51,3.76,9.66,8.76,14.11,5.98,1.11,12.7,15.62,15.31,10.4,13.29,9.96,10.12,3.85,3.69,9.66,1.35
Nicosia,31.79,29.67,24.68,32.02,19.8,20.15,21.17,17.72,22.69,37.23,28.75,36.4,27.47,28.86,32.36,28.39,9.53,29.13,24.7,24.04,11.66,11.66,14.95,18.87,27.32,24.33,22.03,19.58,26.97,24.99,0.0,19.45,25.63,23.15,26.21,23.19,29.48,17.62,34.03,29.22,25.39,29.09,34.32,9.68,31.97,36.2,20.17,33.88,21.27,25.63,29.48,24.7
Ljubljana,12.34,10.3,6.83,16.04,5.05,2.35,7.97,3.26,4.51,21.06,9.3,16.96,10.23,14.59,15.91,16.9,11.07,9.87,5.47,7.16,8.92,7.79,4.52,1.11,15.92,12.76,11.39,2.69,7.53,6.18,19.45,0.0,8.6,4.81,6.84,3.76,14.52,6.72,19.35,9.81,6.22,12.4,16.9,9.89,13.09,19.29,5.35,14.48,3.85,8.6,14.52,5.47
Marseille,9.66,7.06,11.66,7.45,5.84,10.2,15.58,11.85,10.38,12.54,7.82,13.77,14.27,19.9,19.2,23.23,16.16,10.01,5.03,1.63,16.93,14.77,12.13,8.3,22.45,19.8,19.03,10.86,6.72,3.69,25.63,8.6,0.0,3.9,8.11,7.26,6.11,8.2,10.81,8.93,4.72,16.33,18.9,16.13,13.42,10.96,13.21,12.26,4.96,0.0,6.11,5.03
Milan,9.44,6.92,8.32,11.28,4.12,6.31,11.75,8.03,6.71,16.26,6.71,14.05,11.32,16.71,16.69,19.77,13.99,8.32,2.35,2.74,13.5,11.76,8.79,4.72,18.93,16.12,15.22,6.97,4.99,1.91,23.15,4.81,3.9,0.0,5.61,3.67,9.98,6.9,14.7,7.63,2.71,13.5,16.89,13.47,11.91,14.49,9.33,11.95,1.94,3.9,9.98,2.35
Frankfurt,5.76,4.47,4.14,14.06,9.41,6.24,9.35,8.75,4.29,18.13,2.86,10.23,6.18,11.88,11.19,15.44,17.88,3.06,3.34,7.82,15.14,14.56,11.26,7.65,14.78,12.57,12.42,6.93,1.82,4.51,26.21,6.84,8.11,5.61,0.0,3.12,13.76,12.07,17.8,3.04,3.42,8.22,11.28,16.73,6.51,15.93,7.86,7.67,7.05,8.11,13.76,3.34
Munich,8.6,6.72,4.67,14.26,6.72,3.72,8.41,6.11,3.12,18.9,5.57,13.2,7.81,13.06,13.36,16.11,14.76,6.17,2.51,6.37,12.39,11.53,8.24,4.53,15.28,12.54,11.82,4.46,3.85,3.76,23.19,3.76,7.26,3.67,3.12,0.0,13.35,9.21,17.87,6.05,3.2,10.03,13.89,13.65,9.54,16.9,6.24,10.72,4.45,7.26,13.35,2.51
Valencia,13.34,11.23,17.59,2.8,10.67,16.28,21.69,17.76,16.47,7.77,12.63,16.23,19.92,25.64,24.38,29.15,19.99,14.96,11.01,7.36,22.25,19.67,17.51,14.05,28.41,25.86,25.14,16.91,12.1,9.66,29.48,14.52,6.11,9.98,13.76,13.35,0.0,12.05,4.91,13.7,10.55,21.84,23.61,20.56,17.93,7.16,19.31,15.64,10.7,6.11,0.0,11.01
Naples,16.34,13.78,13.37,14.46,2.79,9.04,14.38,8.76,11.12,19.71,13.59,20.92,16.74,21.31,22.41,23.51,8.08,15.02,9.16,6.71,10.85,7.87,6.66,5.62,22.5,19.24,17.61,9.21,11.83,8.76,17.62,6.72,8.2,6.9,12.07,9.21,12.05,0.0,16.83,14.47,9.61,18.96,23.1,8.51,18.56,18.59,11.79,18.86,5.09,8.2,12.05,9.16
Seville,16.06,14.49,21.83,3.76,15.58,21.01,26.27,22.6,20.95,4.15,16.15,17.81,23.8,29.53,27.71,33.23,24.63,18.43,15.42,12.19,27.16,24.54,22.42,18.92,32.58,30.23,29.68,21.67,16.03,14.11,34.03,19.35,10.81,14.7,17.8,17.87,4.91,16.83,0.0,17.12,14.86,25.55,26.55,25.34,20.91,5.15,23.98,17.94,15.57,10.81,4.91,15.42
Antwerp,2.8,2.64,6.32,13.38,11.72,9.27,11.79,11.79,7.15,16.76,1.11,7.19,6.95,12.56,10.69,16.47,20.77,1.31,5.32,9.18,18.18,17.57,14.27,10.54,15.97,14.28,14.54,9.95,2.64,5.98,29.22,9.81,8.93,7.63,3.04,6.05,13.7,14.47,17.12,0.0,4.96,8.46,10.03,19.7,4.5,14.44,10.65,4.67,9.38,8.93,13.7,5.32
Basel,6.77,4.33,7.04,11.19,6.83,6.85,11.51,9.09,6.14,15.71,4.0,11.41,9.55,15.19,14.59,18.6,16.45,5.74,0.76,4.45,15.14,13.82,10.65,6.56,17.86,15.37,14.86,7.59,2.35,1.11,25.39,6.22,4.72,2.71,3.42,3.2,10.55,9.61,14.86,4.96,0.0,11.63,14.51,15.72,9.32,13.7,9.44,9.25,4.56,4.72,10.55,0.76
Gothenburg,10.27,11.11,5.6,21.79,16.68,10.36,8.03,12.09,7.89,25.17,9.4,12.27,2.22,4.17,3.53,8.24,22.62,7.16,11.45,15.96,17.45,18.42,15.5,13.5,7.96,7.44,8.82,10.56,9.75,12.7,29.09,12.4,16.33,13.5,8.22,10.03,21.84,18.96,25.55,8.46,11.63,0.0,5.26,20.8,6.02,22.83,9.05,9.95,14.47,16.33,21.84,11.45
Bergen,10.48,12.38,10.18,22.92,20.58,15.11,13.28,17.09,12.49,25.32,11.14,10.28,6.95,7.41,2.78,11.08,27.56,8.9,14.59,18.95,22.67,23.48,20.43,17.95,11.3,11.99,13.75,15.42,12.25,15.62,34.32,16.9,18.9,16.89,11.28,13.89,23.61,23.1,26.55,10.03,14.51,5.26,0.0,25.85,5.69,22.94,14.2,8.88,18.24,18.9,23.61,14.59
Thessaloniki,22.19,20.01,15.78,22.91,10.3,10.95,13.54,8.76,13.59,28.17,19.16,26.83,18.9,21.55,24.27,22.25,2.39,19.73,15.03,14.52,4.74,2.38,5.54,9.23,21.14,17.79,15.59,10.5,17.36,15.31,9.68,9.89,16.13,13.47,16.73,13.65,20.56,8.51,25.34,19.7,15.72,20.8,25.85,0.0,22.78,26.93,11.79,24.37,11.61,16.13,20.56,15.03
Edinburgh,4.88,6.71,7.4,17.26,15.87,11.86,12.32,14.24,9.28,19.92,5.6,6.28,5.74,10.08,6.95,14.19,24.14,3.59,9.55,13.65,20.47,20.5,17.24,14.0,13.97,13.22,14.19,12.39,6.98,10.4,31.97,13.09,13.42,11.91,6.51,9.54,17.93,18.56,20.91,4.5,9.32,6.02,5.69,22.78,0.0,17.54,12.14,3.95,13.51,13.42,17.93,9.55
Porto,12.7,11.85,20.07,4.37,16.66,20.46,25.1,22.47,19.74,2.38,13.66,13.43,21.39,26.97,24.49,30.9,26.67,15.72,14.39,12.58,27.87,25.7,23.08,19.16,30.39,28.47,28.32,21.18,14.11,13.29,36.2,19.29,10.96,14.49,15.93,16.9,7.16,18.59,5.15,14.44,13.7,22.83,22.94,26.93,17.54,0.0,23.13,14.09,15.89,10.96,7.16,14.39
Krakow,13.45,12.3,4.75,20.44,10.4,3.12,2.63,3.34,3.57,25.14,10.7,17.53,7.3,10.03,12.49,11.75,13.72,10.03,8.75,12.01,8.52,9.41,6.71,6.32,10.72,7.46,6.05,2.66,9.44,9.96,20.17,5.35,13.21,9.33,7.86,6.24,19.31,11.79,23.98,10.65,9.44,9.05,14.2,11.79,12.14,23.13,0.0,14.86,9.01,13.21,19.31,8.75
Manchester,2.61,5.25,10.2,14.48,16.07,13.84,15.54,16.35,11.54,16.46,5.32,2.68,9.4,14.04,10.68,18.14,25.41,4.86,9.76,12.96,22.73,22.23,18.93,15.2,17.91,17.01,17.78,14.49,7.14,10.12,33.88,14.48,12.26,11.95,7.67,10.72,15.64,18.86,17.94,4.67,9.25,9.95,8.88,24.37,3.95,14.09,14.86,0.0,13.81,12.26,15.64,9.76
Bologna,11.33,8.84,9.02,12.37,2.37,5.89,11.58,7.07,7.05,17.51,8.52,15.96,12.25,17.35,17.8,20.11,12.06,9.94,4.07,3.41,11.98,10.0,7.2,3.36,19.2,16.2,15.04,6.42,6.75,3.85,21.27,3.85,4.96,1.94,7.05,4.45,10.7,5.09,15.57,9.38,4.56,14.47,18.24,11.61,13.51,15.89,9.01,13.81,0.0,4.96,10.7,4.07
Marseille,9.66,7.06,11.66,7.45,5.84,10.2,15.58,11.85,10.38,12.54,7.82,13.77,14.27,19.9,19.2,23.23,16.16,10.01,5.03,1.63,16.93,14.77,12.13,8.3,22.45,19.8,19.03,10.86,6.72,3.69,25.63,8.6,0.0,3.9,8.11,7.26,6.11,8.2,10.81,8.93,4.72,16.33,18.9,16.13,13.42,10.96,13.21,12.26,4.96,0.0,6.11,5.03
Valencia,13.34,11.23,17.59,2.8,10.67,16.28,21.69,17.76,16.47,7.77,12.63,16.23,19.92,25.64,24.38,29.15,19.99,14.96,11.01,7.36,22.25,19.67,17.51,14.05,28.41,25.86,25.14,16.91,12.1,9.66,29.48,14.52,6.11,9.98,13.76,13.35,0.0,12.05,4.91,13.7,10.55,21.84,23.61,20.56,17.93,7.16,19.31,15.64,10.7,6.11,0.0,11.01
Zurich,7.33,4.99,6.63,11.78,6.4,6.11,10.89,8.33,5.54,16.39,4.45,11.99,9.32,14.89,14.51,18.2,15.81,5.97,0.0,4.52,14.38,13.1,9.92,5.84,17.43,14.86,14.27,6.85,2.68,1.35,24.7,5.47,5.03,2.35,3.34,2.51,11.01,9.16,15.42,5.32,0.76,11.45,14.59,15.03,9.55,14.39,8.75,9.76,4.07,5.03,11.01,0.0
