,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
Riga,111.45,111.35,56.26,176.84,118.68,69.54,32.4,70.55,62.88,204.61,99.21,129.97,50.86,32.62,62.31,29.91,133.53,87.6,99.08,125.74,89.46,103.89,90.94,91.75,22.59,0.0,15.42,67.28,95.95,108.02,162.23,85.03,132.01,107.48,83.8,83.63,172.41,128.25,201.53,95.23,102.49,49.59,79.96,118.61,88.14,189.81,49.73,113.4,108.01,132.01,172.41,99.08
Vilnius,114.36,111.83,55.47,173.64,109.5,61.07,23.19,59.05,58.21,203.1,99.89,135.8,56.37,46.79,74.86,44.48,119.04,90.13,95.11,119.64,74.29,89.5,77.97,82.1,37.06,15.42,0.0,57.99,94.82,103.8,146.84,75.93,126.89,101.49,82.81,78.8,167.62,117.43,197.89,96.95,99.06,58.82,91.67,103.9,94.6,188.82,40.33,118.56,100.3,126.89,167.62,95.11
Bratislava,84.6,73.93,35.24,121.51,51.6,4.96,35.24,12.46,20.8,153.91,64.85,114.02,56.75,81.66,93.91,95.38,80.89,64.3,45.65,63.74,54.97,54.44,33.43,24.47,88.7,67.28,57.99,0.0,54.49,52.64,130.54,17.94,72.42,46.45,46.18,29.75,112.76,61.41,144.46,66.31,50.59,70.38,102.83,70.01,82.61,141.22,17.73,96.59,42.8,72.42,112.76,45.65
Luxembourg City,32.19,19.45,39.77,81.82,60.49,49.64,73.99,66.08,39.2,108.69,12.15,63.24,52.19,90.42,83.3,114.7,121.99,22.73,17.84,44.77,108.19,102.11,80.31,54.25,110.42,95.95,94.82,54.49,0.0,22.8,179.81,50.22,44.77,33.3,12.15,25.65,80.68,78.9,106.85,17.62,15.63,65.01,81.65,115.76,46.53,94.09,62.94,47.62,44.98,44.77,80.68,17.84
Bern,50.51,33.48,53.16,70.03,39.86,47.82,81.12,61.62,45.63,101.41,33.17,81.09,70.71,108.08,104.61,130.32,105.92,45.52,9.0,22.24,100.44,90.14,69.65,42.2,125.21,108.02,103.8,52.64,22.8,0.0,166.62,41.18,24.62,12.76,30.06,25.07,64.41,58.42,94.09,39.88,7.41,84.69,104.15,102.06,69.3,88.58,66.4,67.5,25.67,24.62,64.41,9.0
Nicosia,211.91,197.77,164.55,213.45,131.97,134.31,141.15,118.16,151.28,248.21,191.66,242.65,183.12,192.37,215.74,189.29,63.56,194.21,164.64,160.28,77.74,77.74,99.68,125.8,182.15,162.23,146.84,130.54,179.81,166.62,0.0,129.64,170.89,154.3,174.7,154.63,196.51,117.45,226.87,194.83,169.3,193.94,228.81,64.56,213.11,241.33,134.49,225.87,141.81,170.89,196.51,164.64
Ljubljana,82.27,68.7,45.52,106.93,33.69,15.66,53.16,21.71,30.06,140.38,62.01,113.06,68.18,97.29,106.08,112.67,73.8,65.8,36.47,47.76,59.48,51.91,30.1,7.41,106.15,85.03,75.93,17.94,50.22,41.18,129.64,0.0,57.31,32.04,45.63,25.07,96.78,44.81,129.0,65.42,41.47,82.69,112.67,65.95,87.24,128.59,35.67,96.54,25.67,57.31,96.78,36.47
Marseille,64.43,47.07,77.72,49.64,38.96,68.02,103.87,79.01,69.2,83.62,52.14,91.82,95.13,132.67,128.03,154.88,107.76,66.72,33.56,10.84,112.86,98.47,80.89,55.31,149.68,132.01,126.89,72.42,44.77,24.62,170.89,57.31,0.0,25.97,54.09,48.4,40.75,54.66,72.04,59.52,31.45,108.87,126.02,107.56,89.48,73.05,88.06,81.77,33.1,0.0,40.75,33.56
Milan,62.93,46.14,55.46,75.22,27.47,42.05,78.35,53.54,44.71,108.37,44.71,93.69,75.48,111.38,111.28,131.81,93.25,55.46,15.69,18.26,90.02,78.38,58.58,31.44,126.19,107.48,101.49,46.45,33.3,12.76,154.3,32.04,25.97,0.0,37.4,24.47,66.53,46.03,98.01,50.9,18.05,90.03,112.6,89.79,79.38,96.6,62.22,79.69,12.91,25.97,66.53,15.69
Frankfurt,38.42,29.81,27.63,93.71,62.76,41.61,62.34,58.36,28.58,120.84,19.06,68.19,41.21,79.21,74.61,102.96,119.18,20.38,22.24,52.14,100.94,97.08,75.08,50.97,98.51,83.8,82.81,46.18,12.15,30.06,174.7,45.63,54.09,37.4,0.0,20.8,91.74,80.46,118.68,20.26,22.77,54.78,75.2,111.51,43.37,106.21,52.37,51.17,46.98,54.09,91.74,22.24
Munich,57.37,44.8,31.14,95.09,44.78,24.8,56.05,40.73,20.8,125.99,37.11,88.03,52.09,87.08,89.06,107.38,98.4,41.16,16.75,42.48,82.57,76.9,54.97,30.18,101.84,83.63,78.8,29.75,25.65,25.07,154.63,25.07,48.4,24.47,20.8,0.0,88.98,61.41,119.12,40.35,21.36,66.87,92.63,91.01,63.6,112.65,41.61,71.48,29.65,48.4,88.98,16.75
Valencia,88.96,74.89,117.3,18.69,71.13,108.51,144.62,118.41,109.77,51.83,84.21,108.19,132.79,170.94,162.53,194.3,133.28,99.75,73.39,49.09,148.35,131.13,116.71,93.64,189.42,172.41,167.62,112.76,80.68,64.41,196.51,96.78,40.75,66.53,91.74,88.98,0.0,80.34,32.75,91.36,70.34,145.61,157.42,137.07,119.55,47.77,128.74,104.28,71.35,40.75,0.0,73.39
Naples,108.91,91.85,89.1,96.39,18.57,60.25,95.87,58.41,74.13,131.4,90.62,139.47,111.63,142.1,149.41,156.77,53.9,100.13,61.06,44.75,72.36,52.46,44.38,37.46,150.02,128.25,117.43,61.41,78.9,58.42,117.45,44.81,54.66,46.03,80.46,61.41,80.34,0.0,112.22,96.5,64.05,126.39,154.01,56.76,123.75,123.9,78.58,125.72,33.94,54.66,80.34,61.06
Seville,107.09,96.61,145.54,25.08,103.84,140.04,175.16,150.69,139.69,27.67,107.65,118.72,158.66,196.87,184.73,221.56,164.22,122.86,102.81,81.25,181.08,163.61,149.46,126.16,217.19,201.53,197.89,144.46,106.85,94.09,226.87,129.0,72.04,98.01,118.68,119.12,32.75,112.22,0.0,114.14,99.1,170.3,176.98,168.95,139.43,34.32,159.88,119.62,103.79,72.04,32.75,102.81
Antwerp,18.66,17.62,42.16,89.19,78.11,61.82,78.62,78.57,47.69,111.71,7.41,47.94,46.35,83.71,71.24,109.77,138.43,8.73,35.45,61.2,121.17,117.14,95.15,70.27,106.48,95.23,96.95,66.31,17.62,39.88,194.83,65.42,59.52,50.9,20.26,40.35,91.36,96.5,114.14,0.0,33.04,56.43,66.85,131.36,29.98,96.26,70.99,31.13,62.56,59.52,91.36,35.45
Basel,45.11,28.89,46.96,74.61,45.51,45.65,76.74,60.61,40.92,104.76,26.67,76.07,63.69,101.3,97.25,124.01,109.64,38.29,5.06,29.65,100.92,92.14,71.01,43.76,119.08,102.49,99.06,50.59,15.63,7.41,169.3,41.47,31.45,18.05,22.77,21.36,70.34,64.05,99.1,33.04,0.0,77.51,96.76,104.79,62.14,91.3,62.91,61.7,30.43,31.45,70.34,5.06
Gothenburg,68.48,74.05,37.31,145.26,111.19,69.09,53.54,80.62,52.63,167.83,62.66,81.78,14.83,27.83,23.55,54.93,150.8,47.72,76.31,106.41,116.32,122.81,103.32,90.03,53.08,49.59,58.82,70.38,65.01,84.69,193.94,82.69,108.87,90.03,54.78,66.87,145.61,126.39,170.3,56.43,77.51,0.0,35.04,138.65,40.11,152.21,60.31,66.34,96.48,108.87,145.61,76.31
Bergen,69.89,82.54,67.84,152.82,137.19,100.75,88.56,113.93,83.25,168.82,74.25,68.51,46.33,49.39,18.53,73.85,183.72,59.3,97.25,126.34,151.11,156.51,136.22,119.69,75.32,79.96,91.67,102.83,81.65,104.15,228.81,112.67,126.02,112.6,75.2,92.63,157.42,154.01,176.98,66.85,96.76,35.04,0.0,172.32,37.91,152.96,94.67,59.2,121.61,126.02,157.42,97.25
Thessaloniki,147.94,133.38,105.2,152.73,68.69,72.97,90.27,58.41,90.62,187.83,127.74,178.89,125.99,143.64,161.8,148.33,15.91,131.5,100.19,96.78,31.63,15.85,36.93,61.53,140.93,118.61,103.9,70.01,115.76,102.06,64.56,65.95,107.56,89.79,111.51,91.01,137.07,56.76,168.95,131.36,104.79,138.65,172.32,0.0,151.88,179.52,78.58,162.49,77.4,107.56,137.07,100.19
Edinburgh,32.53,44.71,49.32,115.08,105.82,79.1,82.17,94.95,61.84,132.79,37.34,41.89,38.24,67.23,46.33,94.57,160.96,23.92,63.69,91.02,136.46,136.68,114.95,93.35,93.14,88.14,94.6,82.61,46.53,69.3,213.11,87.24,89.48,79.38,43.37,63.6,119.55,123.75,139.43,29.98,62.14,40.11,37.91,151.88,0.0,116.93,80.91,26.34,90.04,89.48,119.55,63.69
Porto,84.69,79.01,133.83,29.14,111.03,136.38,167.36,149.83,131.63,15.88,91.1,89.52,142.57,179.81,163.24,206.03,177.77,104.79,95.97,83.83,185.82,171.33,153.88,127.7,202.62,189.81,188.82,141.22,94.09,88.58,241.33,128.59,73.05,96.6,106.21,112.65,47.77,123.9,34.32,96.26,91.3,152.21,152.96,179.52,116.93,0.0,154.2,93.9,105.94,73.05,47.77,95.97
Krakow,89.65,82.0,31.66,136.3,69.33,20.8,17.52,22.24,23.82,167.59,71.35,116.86,48.65,66.85,83.25,78.32,91.44,66.86,58.36,80.09,56.79,62.76,44.76,42.12,71.47,49.73,40.33,17.73,62.94,66.4,134.49,35.67,88.06,62.22,52.37,41.61,128.74,78.58,159.88,70.99,62.91,60.31,94.67,78.58,80.91,154.2,0.0,99.04,60.05,88.06,128.74,58.36
Manchester,17.41,35.02,67.97,96.5,107.16,92.29,103.61,108.98,76.92,109.74,35.49,17.84,62.66,93.57,71.23,120.92,169.42,32.43,65.07,86.38,151.55,148.22,126.22,101.33,119.41,113.4,118.56,96.59,47.62,67.5,225.87,96.54,81.77,79.69,51.17,71.48,104.28,125.72,119.62,31.13,61.7,66.34,59.2,162.49,26.34,93.9,99.04,0.0,92.08,81.77,104.28,65.07
Bologna,75.53,58.95,60.12,82.5,15.79,39.25,77.17,47.11,46.98,116.71,56.79,106.42,81.68,115.64,118.69,134.09,80.4,66.3,27.15,22.75,79.88,66.66,47.97,22.41,128.02,108.01,100.3,42.8,44.98,25.67,141.81,25.67,33.1,12.91,46.98,29.65,71.35,33.94,103.79,62.56,30.43,96.48,121.61,77.4,90.04,105.94,60.05,92.08,0.0,33.1,71.35,27.15
Marseille,64.43,47.07,77.72,49.64,38.96,68.02,103.87,79.01,69.2,83.62,52.14,91.82,95.13,132.67,128.03,154.88,107.76,66.72,33.56,10.84,112.86,98.47,80.89,55.31,149.68,132.01,126.89,72.42,44.77,24.62,170.89,57.31,0.0,25.97,54.09,48.4,40.75,54.66,72.04,59.52,31.45,108.87,126.02,107.56,89.48,73.05,88.06,81.77,33.1,0.0,40.75,33.56
Valencia,88.96,74.89,117.3,18.69,71.13,108.51,144.62,118.41,109.77,51.83,84.21,108.19,132.79,170.94,162.53,194.3,133.28,99.75,73.39,49.09,148.35,131.13,116.71,93.64,189.42,172.41,167.62,112.76,80.68,64.41,196.51,96.78,40.75,66.53,91.74,88.98,0.0,80.34,32.75,91.36,70.34,145.61,157.42,137.07,119.55,47.77,128.74,104.28,71.35,40.75,0.0,73.39
Zurich,48.87,33.24,44.17,78.55,42.66,40.73,72.58,55.57,36.9,109.24,29.67,79.96,62.14,99.27,96.76,121.34,105.38,39.77,0.0,30.11,95.9,87.35,66.12,38.96,116.21,99.08,95.11,45.65,17.84,9.0,164.64,36.47,33.56,15.69,22.24,16.75,73.39,61.06,102.81,35.45,5.06,76.31,97.25,100.19,63.69,95.97,58.36,65.07,27.15,33.56,73.39,0.0
