,London,Paris,Berlin,Rome,Madrid,Vienna ,Amsterdam,Brussels,Zurich,Lisbon,Stockholm,Oslo,Copenhagen,Helsinki,Dublin,Warsaw,Budapest,Prague,Athens,Brastislava,Ljubljana,Zagreb,Belgrade,Sofia,Bucharest,Tallinn,Riga,Vilnius,Sarajevo,Skopje,Podgorica,Tirana,Nicosia,Genebra,Dubrovnik,Vaduz,Chisinau,Reykjavik,Valleta,Luxembourg City,Monaco,Andorra la Vella,San Marino,Munich,Manchester,Seville,Milan,Nice,Porto ,Istambul
Sofia,91,397,206,65,96,59,280,36,299,N/A,N/A,N/A,66,N/A,80,217,30,229,N/A,66,N/A,N/A,192,N/A,119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66,N/A,N/A,299,N/A,N/A,44,N/A,110,65,51,259,N/A,N/A,38,60,N/A,235
Bucharest,107,160,194,156,125,71,160,48,210,136,83,141,136,N/A,190,169,51,135,N/A,53,N/A,N/A,203,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,55,N/A,N/A,180,142,N/A,81,N/A,82,112,54,255,61,126,43,N/A,N/A,109
Tallinn,109,428,135,77,N/A,68,213,213,190,N/A,66,129,177,149,50,174,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A,75,124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,N/A,N/A,N/A,N/A,N/A,130,N/A,238,N/A,N/A,138,N/A,N/A,386
Riga,80,347,53,73,223,77,228,169,504,338,33,105,82,88,142,152,149,74,N/A,60,202,N/A,N/A,N/A,215,75,N/A,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,256,152,N/A,156,N/A,217,101,N/A,140,64,N/A,128,N/A,N/A,211
Vilnius,173,408,45,86,N/A,237,643,108,217,562,33,73,259,188,86,145,N/A,N/A,N/A,282,N/A,N/A,N/A,N/A,N/A,86,39,N/A,N/A,N/A,N/A,N/A,326,N/A,N/A,N/A,N/A,N/A,126,N/A,N/A,85,N/A,259,N/A,N/A,114,N/A,N/A,547
Sarajevo,44,N/A,N/A,52,N/A,392,N/A,54,212,N/A,N/A,N/A,N/A,N/A,N/A,243,N/A,N/A,171,375,N/A,156,226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,N/A,N/A,83
Skopje,68,132,96,81,N/A,264,N/A,130,253,N/A,N/A,150,N/A,N/A,N/A,260,97,N/A,184,44,68,169,154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232,N/A,N/A,60,N/A,N/A,N/A,40,N/A,N/A,N/A,53,N/A,N/A,106
Podgorica,121,N/A,N/A,N/A,N/A,390,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,211,96,N/A,N/A,377,N/A,N/A,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,N/A,N/A,182
Tirana,44,75,76,34,112,44,141,35,166,N/A,53,53,N/A,N/A,N/A,108,95,90,N/A,30,N/A,N/A,151,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,147,N/A,N/A,N/A,N/A,32,60,36,N/A,56,N/A,34,N/A,N/A,100
Nicosia,205,N/A,416,100,N/A,296,551,N/A,501,N/A,380,235,306,299,N/A,235,126,140,N/A,354,N/A,N/A,324,90,49,N/A,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,341,N/A,N/A,320,N/A,N/A,N/A,N/A,371,N/A,N/A,58,N/A,N/A,128
Genebra,158,114,151,127,121,260,129,92,213,176,345,240,65,369,191,247,162,140,N/A,220,N/A,N/A,233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,170,N/A,N/A,N/A,316,69,62,N/A,206,96,348,N/A,132,94,131
Dubrovnik,257,N/A,N/A,N/A,170,61,N/A,69,N/A,N/A,N/A,N/A,N/A,N/A,120,164,N/A,N/A,139,45,N/A,145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,227
Vaduz,202,160,119,192,117,306,240,319,N/A,243,219,125,144,389,340,126,213,207,287,306,342,197,172,N/A,233,N/A,188,N/A,177,163,N/A,205,N/A,170,N/A,N/A,N/A,N/A,153,239,337,126,199,209,159,243,159,292,185,82
Chisinau,194,315,186,102,N/A,114,258,250,N/A,357,N/A,N/A,N/A,N/A,207,49,113,180,N/A,125,N/A,N/A,N/A,N/A,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,123,135,N/A,N/A,58,228,N/A,131
Reykjavik,173,261,272,799,252,205,172,530,457,275,706,332,179,292,189,148,207,306,N/A,214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,467,N/A,N/A,N/A,N/A,N/A,183,N/A,349,154,N/A,235,N/A,N/A,N/A
Valleta,107,68,205,49,50,100,298,132,182,74,140,N/A,N/A,N/A,104,115,56,N/A,73,185,N/A,65,109,104,82,N/A,98,78,N/A,153,N/A,N/A,315,N/A,N/A,174,N/A,N/A,N/A,123,190,71,38,170,209,53,73,N/A,N/A,271
Luxembourg City,172,205,589,383,97,367,234,N/A,380,115,504,N/A,185,N/A,32,290,141,138,N/A,300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,413,N/A,337,N/A,N/A,N/A,N/A,107,263,N/A,155,N/A,N/A,43,161,66,191
Monaco,186,143,258,61,112,125,126,156,265,132,302,182,175,345,59,205,59,86,N/A,125,N/A,N/A,108,60,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,N/A,265,N/A,N/A,N/A,144,N/A,59,N/A,214,181,N/A,N/A,N/A,N/A,343
Andorra la Vella,85,90,116,46,58,146,134,66,119,71,191,199,136,287,82,150,62,111,N/A,86,N/A,N/A,118,54,88,81,87,278,N/A,N/A,N/A,70,N/A,57,N/A,87,N/A,260,33,82,70,N/A,81,82,56,90,35,92,48,277
San Marino,177,178,131,119,93,158,266,58,195,331,N/A,N/A,81,N/A,72,51,64,110,N/A,97,N/A,N/A,207,38,41,N/A,N/A,N/A,N/A,60,N/A,34,N/A,N/A,N/A,168,188,N/A,31,N/A,N/A,45,N/A,186,51,100,N/A,N/A,60,193
Munich,253,149,159,199,191,178,196,357,210,397,355,151,134,196,189,228,262,236,301,203,303,256,206,178,164,142,141,192,N/A,N/A,N/A,N/A,446,377,N/A,210,N/A,404,170,205,261,204,156,N/A,147,478,91,261,301,81
Manchester,153,180,158,207,121,90,71,38,69,483,433,96,158,337,43,60,76,47,N/A,44,N/A,N/A,N/A,N/A,85,N/A,63,N/A,N/A,N/A,N/A,64,N/A,161,N/A,129,N/A,93,186,N/A,121,92,44,144,N/A,260,44,N/A,N/A,147
Seville,104,172,N/A,114,68,117,256,116,453,241,N/A,N/A,N/A,N/A,58,142,76,102,N/A,86,N/A,N/A,N/A,N/A,169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,304,N/A,N/A,46,N/A,N/A,70,155,N/A,65,N/A,75,N/A,N/A,N/A
Milan,206,94,57,126,53,66,139,44,179,97,484,104,102,111,56,51,53,55,39,54,N/A,59,197,34,44,56,128,118,50,106,45,36,66,N/A,N/A,179,112,150,41,65,N/A,40,N/A,159,41,133,N/A,N/A,47,159
Nice,186,143,203,61,112,125,126,156,265,132,302,182,175,345,44,103,62,216,N/A,125,N/A,N/A,108,60,91,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,61,N/A,265,N/A,N/A,N/A,144,N/A,59,N/A,214,100,N/A,N/A,N/A,N/A,343
Porto ,111,156,172,187,90,216,233,75,221,79,104,N/A,301,N/A,187,N/A,263,255,N/A,212,N/A,N/A,201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,N/A,95,N/A,N/A,417,66,94,47,54,213,71,121,89,N/A,N/A,411
Istambul,161,247,211,237,234,159,187,150,99,543,155,203,151,202,181,295,177,365,319,107,232,349,193,235,119,412,253,282,88,109,243,156,113,272,N/A,94,119,N/A,299,290,265,289,166,78,163,216,149,320,357,N/A
